Title,Country of Creation,Description,Type of Artwork
Seated Deity,,"DescriptionThe crested headdress with tassels suggests that this youthful, seated male is Macuilxochitl (Five Flower), an Aztec supernatural patron of many forms of pleasure, among them music, dance, feasting, games, and sex. His cult was popular among common people, and this effigy probably was created for use in a small neighborhood temple. The stone surface could have been plastered and then brightly painted.",Type of artwork: Sculpture
Ink Plum,"China, Ming dynasty","DescriptionSeasonal paintings, including those depicting flowering plum trees in early spring, furnished scholars’ studios or other interior spaces in the house. Peng Xu is considered the foremost follower of the famous plum blossom painter Wang Mian (1287–1359) (see CMA 1974.26). The branches are brushed in the same vigorous manner leaving white streaks in the ink indicating the gnarled bark. The delicate blossoms are drawn in fine lines, while a gray wash covers the entire surface, only leaving the flower petals in reserve.",Type of artwork: Painting
Flower Embroidery Design for Silk Manufactory of Lyon,"France, 18th century","DescriptionThis drawing features a floral design intended for use by the silk manufactory in Lyon, a city with a long tradition in this industry. Jean Baptiste Pillement’s chalk drawings were translated not only into fabric, but also prints, which circulated and spread his style widely. Here, he used a small range of colors and repeated forms to create an appealing decorative motif.",Type of artwork: Drawing
Flowering Bush above an Eroded Bank,"Italy, 16th century","DescriptionFederico Barocci, who worked in Urbino, made landscape sketches for use in his paintings and as independent studies. The artist’s multimedia approach—combining chalks, ink washes, and opaque paints—was novel at the time but would become standard practice for landscape artists working in later centuries. Novel, as well, was his interest in excerpts of the natural world rather than fully realized scenes. Here, the artist drew an eroded bank with a few bold lines in black chalk, then used a brush to layer brown and white ink washes, capturing the untamed clump of earth with remarkable naturalism.",Type of artwork: Drawing
Bowl: Bright Flowers,"America, Ohio, Cleveland",,Type of artwork: Enamel
Portrait of a Woman with Flowers,"America, 20th century","DescriptionFor more than 50 years, James VanDerZee produced images that embody the spirit of Harlem. From the 1920s to the 1940s, he was the neighborhood's most popular and prolific photographer, his camera capturing everyone from ordinary citizens to celebrities. In the studio VanDerZee photographed glamorously dressed young people and dignified men and women. On location, he chronicled picnics, parades, families, church congregations, and the dead in their coffins. These four prints, from a collection of 33 recently acquired by the museum, show VanDerZee's skill at posing and lighting his subjects. His artistic sensibilities are reflected in elaborate backdrops and the use of accessories that reinforced his sitters' associations with culture and wealth. The artist worked with a variety of techniques, including multiple negatives and hand coloring, to make artful photographs that set him apart from his more traditional, less aesthetically inclined competitors. Just as he often signed his name and date directly onto the negative, he would also selectively draw on it-to smooth a complexion and touch up imperfections, or to add extra jewelry or smoke drifting from a cigarette-whatever was necessary to emphasize the grace and dignity of his client, regardless of race, age, or social status.",Type of artwork: Photograph
"Untitled (Masked Figure, Flowers and Candles, Mexico)","America, 20th century","DescriptionA social documentary photographer, Debbie Fleming Caffery is known for her extended bodies of work including photographs of rural Louisiana's sugarcane workers and her most recent images which record the markets, festivals, and rituals of Mexico.  Conveying a sense of mystery and spirituality, she obscures the specific identity of the figure in Untitled, who participates in the Day of the Dead festival, through a combination of high-contrast lighting and long shutter speeds.",Type of artwork: Photograph
Pitcher,,"DescriptionThe chrysanthemum is the flower of autumn. In East Asia, its wine was believed to bring longevity if drunk during the Double Nine Festival (September 9). ""Drinking Wine,"" a poem by Tao Yuanming (365–427), combines the flower with the theme of the reclusive life: ""From the eastern fence, I pluck chrysanthemum flowers, and idly look toward the southern hills."" In Korea, the chrysanthemum was established as a popular motif for Goryeo inlaid celadon as early as the 1100s. The flower was used as the main motif for wine service vessels in particular. When Koreans drank wine from Goryeo celadon decorated with chrysanthemum designs, they believed that Tao’s faithful spirit transferred to their inner mind, as did the blessings of longevity.",Type of artwork: Ceramic
Railing Pillar with a Yakshi (Female Nature Divinity),,"DescriptionThis pillar would have been an upright of a stair banister, probably leading to an upper circumambulatory path of a Buddhist or Jain sacred monument known as a stupa. It has the image of a nature divinity grasping the branch of an ashoka tree with one hand and touching her breast full of nourishing milk with the other. The reverse side of the pillar is decorated with a stupa at the top and a partially damaged scene set in the architectural framework below.",Type of artwork: Sculpture
"Flowers of a Hundred Worlds (Momoyogusa), vols. 1–3","Japan, Meiji period","DescriptionThis set of three woodblock printed folding-books displays the graphic design prowess of Kamisaka Sekka. The images were first distributed one by one to subscribers to the series but later were reissued in bound form, like these books, for mass consumers. Each print features a vignette taken from nature or Japanese literature. Many of the scenes have a long history in Japan, originating in the 900s or 1000s and having been interpreted by all manner of artists since that time. Sekka’s selections hew closely to precedents from the Rinpa style originated by painter Tawaraya Sōtatsu (c. 1570–c. 1640) and calligrapher Hon’ami Kōetsu (1558–1637).",Type of artwork: Bound Volume
Bowl with Flowering Vines Design in Relief,,"DescriptionAs early as the seventh century, the practice of drinking tea and wine became an important part of elite leisure culture in Korea. A wide bowl like this example was especially suitable for drinking powdered tea shaved from a compressed tea cake, the most commonly enjoyed type during the Goryeo period. The image of flowering vines in relief on the inner wall of this tea bowl must have made the moment of drinking tea more enjoyable.",Type of artwork: Ceramic
Herbaceous Peony,"China, Qing dynasty","DescriptionYun Shouping came from Piling (modern Changzhou), Jiangsu province, a center of floral, plant, and insect painting. He had joined the anti-Manchu resistance, was briefly imprisoned, and witnessed the death of family members in 1644. Like other artists, Yun Shouping expressed his Ming loyalism in coded pictures. The peony, king of flowers, and a spring garden motif developed new meaning during the Qing dynasty. The inscription indicates that Yun turns the flower into a motif representing the glorious past. The herbaceous peonies here appear somewhat withered and pale, with faint reddish veins running through its broken branches, perhaps a coded message. The inscription reads, An old painting by an anonymous painter of the Northern Song Dynasty has five varieties of flowers painted in the boneless manner. Its colors are so beguiling and beautiful, that even after several hundred years its lead pigments are like new. The skill with which the ink and colors were applied and the subtlety of its composition find no equal among modern followers.",Type of artwork: Painting
Bowl with Lotus Petal Design in Relief,,"DescriptionAs early as the seventh century, the practice of drinking tea and wine became an important part of elite leisure culture in Korea. A wide bowl like this example was especially suitable for drinking powdered tea shaved from a compressed tea cake, the most commonly enjoyed type during the Goryeo period. The outer wall of this tea bowl is decorated with the image of lotus flower, a symbol of purity.",Type of artwork: Ceramic
Settee,"England, 19th century","DescriptionAn art collector, designer, and champion of neoclassicism, Thomas Hope designed this settee for display in his London house. Hope’s design exemplifies the continued interest in neoclassical ornament around 1800 through the use of elaborately carved friezes, a central pediment, and a lavishly gilded surface. In 1807 Hope published Household Furniture and Interior Decoration, featuring descriptions of his renowned collection of antiquities and the interior furnishings from his London house, including this settee. Many architects and cabinetmaking firms took inspiration from Hope’s designs, adapting Greek and Roman forms to create bold expressions of neoclassicism in their architecture and decoration.",Type of artwork: Wood
Equestrian Portrait of Maharana Raj Singh II of Mewar (r. 1755–62),,"DescriptionThe youthful king was only eleven years old when he inherited the throne from his father Pratap Singh II (r. 1752–55). Here shown with barely the beginnings of facial hair starting to grow, he wears a gorgeous turban with fresh flowers tucked into the bejeweled band, and a lion-headed dagger in his belt. Multicolored clouds gather forbiddingly in the sky, promising rain, as the black stallion trots through the grasses, and he gestures to his attendants not to be afraid.",Type of artwork: Painting
Fruits and Flowers,"America, 20th century",,Type of artwork: Painting
Mandarin Ducks and Flowering Plants,"Japan, Edo period","DescriptionIn Asian painting, ducks are usually shown in pairs because a male and female mate for life. They symbolize fidelity and tranquility. The presence of another duck is suggested here by the gesture of the bird's head. Notice the variety of brushstrokes and ink tones used to depict the duck's plumage. The bird and flower genre is a popular theme in the paintings and prints of the Kelvin Smith Collection. Kachoga, or bird and flower pictures, became popular among collectors in Japan during the 19th century, due in large part to Hiroshige. Although better known for his landscape prints, Hiroshige made several exceptional prints of birds, plants, and animals that reveal his keen observation of nature.",Type of artwork: Print
Icon of the Virgin and Child,,"DescriptionThis tapestry glorifying the Virgin Mary is among the rarest objects in the museum’s collection. In a composition borrowed from imperial Byzantine art, Mary is shown seated on a jeweled throne with the Christ child and flanked by archangels Michael and Gabriel. Above, Christ appears in a radiant light supported by two angels. Portraits of the apostles, identified in Greek, appear in the surrounding wreath symbolizing eternal life. This portable sacred textile was presumably displayed at the front of a public or private place of worship. This unique tapestry is one of the earliest Christian icons to survive. Woven icons were among the miraculous works shown to pilgrims in Jerusalem according to Abbot Adomnan of Iona (about 624–704) who described a linen cloth ""said to have been woven by Saint Mary, and is for this reason preserved in a church and venerated by the whole population. Pictures of the twelve apostles are woven into it, and there is also a portrait of the Lord."" The abbot’s description of the woven icon suggests it must have been similar to the tapestry displayed here. The delicate effects of shading in the facial features, garments, and vegetation were achieved by weaving the panel sideways with at least 20 colors, just as medieval tapestry weavers did centuries later in Europe. The high cost of dyes caused this majestic icon to be far costlier than painted images.",Type of artwork: Textile
Garden Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
Shakyamuni Triad: Buddha Attended by Manjushri and Samantabhadra (Bodhisattva with Elephant),,"DescriptionThis triptych is a rare example of Yuan Buddhist painting. It depicts the historic Buddha Shakyamuni flanked by two attending bodhisattvas, Manjushri (the bodhisattva of wisdom, riding a lion) and Samantabhadra (the bodhisattva of universal virtue, riding an elephant). Below them are others seeking enlightenment: two disciples of the Buddha (Ananada and Kasyapa), two non-Chinese people, a boy with topknots, and a female worshiper. The clouds above and around the divine beings form one scene that illustrates Shakyamuni’s sermon from the Lotus Sutra. This text became an important basis for Buddhist faith throughout East Asia and was central to the Mahayana school of Buddhism.",Type of artwork: Painting
Divine couple seated in a lotus blossom,,"DescriptionA gigantic, thousand-petaled lotus flower provides an intimate setting for the lovers. They sit on the seed pod of another full-blown lotus flower, which indicates their transcendent nature by elevating them from the mire of the earth. Shown with full face forward in all white, the four-armed male deity has the all-seeing third eye in his brow and holds only a manuscript. The red goddess on his lap grasps a lotus flower in one hand, which communicates her benign and peaceful nature. At the bottom are offerings of flowers, incense, oil lamps, and jeweled cups of pure water or liquor.",Type of artwork: Painting
Untitled (Wild Flowers and Rock),"America, 20th century",,Type of artwork: Photograph
London Types: Flower Girl,"England, 19th century","DescriptionLondon Types celebrates the affection residents felt for their city at the end of the 19th century. The series includes many depictions of women because the publisher William Heinemann, a strong supporter of the struggle for equality, advised the artist to represent both sexes equally. The scenes document London of the 1890s with contemporary references.",Type of artwork: Print
Flowers and Birds,"China, Yuan dynasty",,Type of artwork: Painting
Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
New Suite of Portfolios of Flowers Ideal to Use for Designing and Painting: Floral Fantasies,"France, 18th century","DescriptionAs a painter and decorative artist,Jean Baptiste Pillement ornamented a broad range of objects including ceramics, textiles, and other household objects. He employed several printmakers to copy his designs that were then disseminated throughout Europe. The best of the printmakers, Anne Allen, colored the etched plate à la poupée. Instead of making a plate for each color, a single plate is selectively inked in different colors using stumps of rags, known as dolls (poupée in French), so that the complete design is printed at one time.",Type of artwork: Print
Flowers,"America, 20th century",,Type of artwork: Print
Woman Wearing a Flower,"America, 20th century",,Type of artwork: Painting
Pendant,,"DescriptionThe central emerald has been subtly incised with a many-petaled lotus flower, a symbol of the sun, suggesting the radiance of the outsize gem. The enameling on the back depicts a peacock with a pair of peahens amid flowers. Peacocks signal the monsoon rains. The refined use of enamel indicates that this piece was assembled in the specialized workshops of Jaipur, but the size of the emerald suggests that it was made for imperial use.",Type of artwork: Jewelry
Hollyhock-shaped Cup,,"DescriptionThis very rare porcelain cup is called a hollyhock cup because its rim resembles a hollyhock blossom. This type of cup was produced only in the state-owned kiln for a limited time from the late 1400s to mid-1500s. Like sunflowers, hollyhocks also open their blooms toward the sun, signifying loyalty to the king. According to Korean royal archives, hollyhock cups were used during state banquets when the king offered wine to court officials. Also, a hollyhock-shaped cup was used in tea ceremonies to welcome visiting Chinese diplomats. In comparison to ceramic works of the late Joseon period that favor natural and rustic sensibilities seen in this gallery, this hollyhock cup illustrates the precision and perfection that were core aesthetic values of early Joseon period art.",Type of artwork: Ceramic
Women enjoying the river at the forest’s edge (recto) and flowering marigold (verso),"India, Murshidabad or Lucknow, Mughal, 18th century","DescriptionThe image of young women at play, in association with water and the fruiting of trees, such as this mango, has been used in Indian art to signal the idea of prosperity and abundance. Rain clouds approach that will nourish the land. The pairs of women on the banks sample perfumes, and in front of them bowls made of leaves appear to hold jasmine flowers for adorning the hair. One woman smokes a hookah and looks on as two companions frolic in the rivulet. The palace’s white marble buildings are barely indicated in the far distance.",Type of artwork: Painting
Egret and Reeds,"Korea, Joseon dynasty","DescriptionIn this hanging scroll, an egret walks along the shores of a salt marsh where reeds abundantly grow. Native to Pyongyang, the artist Yang Ki-hun had no rival in bird-and-flower themes. The Taedong River estuary, one of Pyongyang’s beloved natural sites, may have been Yang’s favorite spot to observe and sketch various water birds.Yang treated his subjects of flora and fauna with an observant naturalist’s view, yet his choice of subjects—an egret and reeds—is deeply rooted in traditional symbolic language: the egret stands for the scholarly reclusive life, while reeds indicate humility and modesty.",Type of artwork: Painting
Lilies and Sparrow,"America, 20th century","DescriptionJoseph Stella made nature studies throughout his career. For this simple, spare composition he used metalpoint, a medium associated with the Italian Renaissance and rarely seen in the 20th century. Although metalpoint cannot be erased, its unique qualities -- precision, delicacy, and sharpness -- appealed to Stella and he often combined it with colored pencils to achieve a brightness that resembled oil painting. The careful execution and large size of this sheet suggest that Stella considered it a finished work of art.",Type of artwork: Drawing
De Poolse Muts,Netherlands,"DescriptionStill-life painting began in the Northern Netherlands (present-day Holland) around the turn of the 1600s. Still-life painter Balthasar van der Ast made this precise botanical study of a pink carnation as a reference that he could add later to a painting of an elaborate bouquet of flowers. Van der Ast inscribed the name “The Polish Cap,” on the sheet to suggest that the flower came from foreign lands.",Type of artwork: Drawing
The Botanical Magazine or Flower Garden Displayed:  White Cape - Coast Lily,"England, 19th century","DescriptionEngland was central to botanical concerns in the 18th century. For example, Kew Gardens was founded in 1721 and became a major institution for knowledge about plants from every continent. Interest in gardening led William Curtis to found the specialized magazine Botanical Magazine: or Flower Garden Displayed in 1787. Curtis aimed “to illustrate and describe the most ornamental flowering plants including information on their cultivation and illustrations drawn from living plants and colored as near to nature as the imperfection of color will admit.”",Type of artwork: Print
Quails and Sparrows in an Autumn Scene,"China, Yuan dynasty","DescriptionThe flower-and-bird subjects here are depicted in a meticulous manner, echoing the academic tradition but translating the customarily colored images to plain monochrome. Fine ink lines combined with carefully graded washes define the contours and give subtle modeling to the natural forms. Wang Yuan excelled in flower-and-bird subjects as well as landscape and figure paintings. A child prodigy, he was instructed by the great Yuan master Zhao Mengfu at an early age.",Type of artwork: Painting
Twelve Months of Flowers:  September,"England, 18th century",,Type of artwork: Print
New Suite of Portfolios of Flowers Ideal to Use for Designing and Painting: Floral Fantasies,"England, 18th century","DescriptionAs a painter and decorative artist,Jean Baptiste Pillement ornamented a broad range of objects including ceramics, textiles, and other household objects. He employed several printmakers to copy his designs that were then disseminated throughout Europe. The best of the printmakers, Anne Allen, colored the etched plate à la poupée. Instead of making a plate for each color, a single plate is selectively inked in different colors using stumps of rags, known as dolls (poupée in French), so that the complete design is printed at one time.",Type of artwork: Print
"Album of Miscellaneous Subjects, Leaf 8","China, Qing dynasty","DescriptionLeaf 8 Li Bing's colophon reads: Maple leaves drift in the wind, the autumn gusts bracing, Hibiscus flowers steeped with water, the evening breeze light. The moonlight's slanting beams shine upon dreaming lovers. No wonder that pair of fowl should dream of their absent partners.",Type of artwork: Painting
Hookah Base,,"DescriptionSmoking tobacco was introduced to the Mughal court from Iran in the very early 1600s and soon became popular. This base formed part of a hookah, or water pipe, which consisted of a base that held water—sometimes perfumed with herbs or fresh fruit—a detachable bowl to hold tobacco, and a long tube. Early hookahs used existing vessels for bases, including coconut shells. By the late 1600s or early 1700s, richly decorated pieces like this were produced. The jewel-like decoration of blue and green blossoms evokes a garden in which a smoker might have sat.",Type of artwork: Glass
Twelve Months of Flowers:  October,"England, 18th century",,Type of artwork: Print
Violette Heymann,"France, early 20th Century","DescriptionAlthough he was known early in his career for works primarily in black and white, such as charcoal drawings and lithographs, Odilon Redon turned to more colorful media, including pastel, later on. In particular, he focused on commissioned pastel portraits of women with flowers, such as this one. Here, the young niece of the Parisian collector Marcel Kapferer appears alongside colorful blossoms as she looks forward, focused as if in the dreamlike state evoked by her surroundings.",Type of artwork: Drawing
Fatima,"Austria, Vienna","DescriptionInspired by English cotton chintz patterns, Josef Frank created several designs for cotton textiles used as clothing. Fatima was likely meant for summer evening gowns due to the cotton’s light weight. The design’s vibrant floral motifs in intricate arrangements would have made a fresh and fashionable impression without overemphasizing the pattern’s geometry.",Type of artwork: Textile
Goblet with Flowers,,,Type of artwork: Ceramic
Cruciform Mirror with Six Blossoms,,"DescriptionThis cross-shaped mirror has a simple wide frame and a small knob. A part of the floral pattern surrounding the knob has been compromised, likely due to poor casting or damage. The mirror is decorated with designs of flower branches and leaves, which encapsulate six flowers. A few of these branches protrude beyond the beaded circular border to touch the edge of the outer circle, adding a playful dynamism. Similar motifs can be found on silver objects and porcelain of this period.",Type of artwork: Metalwork
Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
Vase with Golden Pheasants,,"DescriptionThe flower-and-bird painting in this vase was intricately executed in colored enamels (falangcai), with careful modeling, shading, and blending of colors reflecting European influences through missionary-artists at the Qing court. The Jesuit artist Giuseppe Castiglione (1688–1766), in particular, exerted tremendous impact at the Qianlong academy.",Type of artwork: Ceramic
Bouquet of Flowers,"America, Ohio, Cleveland",,Type of artwork: Drawing
Florilegium (A Book of Flower Studies),,,Type of artwork: Bound Volume
Millefiori Bowl,,"DescriptionMosaic glass, also called millefiori, was cast in a two-part mold. Fused glass rods of different colors were bundled together into patterns, then sliced into disk-shaped cross sections. These were placed within the mold and heated until fused. After cooling, the vessel’s surface was fire- or wheel-polished.",Type of artwork: Glass
"Noblewoman at a Jharokha Window Holding a Rose, from a Portraits of Women series",,DescriptionThe term jaharoka refers to a window where royalty present themselves to the public. Her jharoka is framed with a cusped arch and floral pattern. A carpet is placed over the baluster to mark the importance of the window. This royal woman holds a rose sprig in her right hand and a blossom in her left.,Type of artwork: Painting
Flowers,"America, 20th century",,Type of artwork: Print
"Vase of Flowers with Grasshopper, Marine Life, and Garden Rock","Japan, Meiji period","DescriptionA great interest in Western scientific studies developed in Japan during the late Edo period (1615-1868) and into the Meiji era (1868-1912). One outcome of this phenomenon in the visual arts was the detailed portrayal of plant, animal, and marine life. This painting is an assemblage of objects carefully observed from nature, but not usually seen together.",Type of artwork: Painting
Snuff Bottle with Flowers,,,Type of artwork: Lacquer
Bowl with Lion and Flowers,,,Type of artwork: Ceramic
Twelve Months of Flowers:  March,"England, 18th century",,Type of artwork: Print
Gathering Flowers Friday,"America, 20th century",,Type of artwork: Print
"Vishnu on Ananta, the Endless Serpent",,"DescriptionBefore the creation of the world, the god Vishnu was asleep on the serpent Ananta, floating on the cosmic ocean. When the time came for him to create the world, Vishnu’s wife Lakshmi woke him gently by massaging his feet. Then, out of his navel emerged a lotus flower, and Vishnu gave birth to Brahma, the god of creation. As plants that grow in water, lotus flowers indicate the presence of the waters and their life-affirming capacity. In this painting they are boldly distributed over a deep brown background with basket-weave patterning.",Type of artwork: Painting
Sketchbook #1: Flower (page 64),America,"DescriptionHewit prepared carefully for the lithograph Old Man, as this is one of four drawings of the sitter in Sketchbook No. 1.",Type of artwork: Bound Volume
Spring Flowers,"America, Ohio, Clevevland School, 20th century",,Type of artwork: Print
Dish with Birds and Flowers,,,Type of artwork: Ceramic
The Geldzahler Portfolio:  A Flower in the Forest,"America, 20th century","DescriptionThis is one of ten prints in the Geldzahler portfolio (the others are by Francesco Clemente, Dennis Hopper, Jasper Johns, Ellsworth Kelly, Roy Lichtenstein, James Rosenquist, David Salle, Frank Stella, and David Hockney). The set, which commemorates Henry Geldzahler, curator at the Metropolitan Museum of Art, New York, and ardent champion of contemporary art, was produced to benefit AIDS research.",Type of artwork: Portfolio
"Album of Miscellaneous Subjects, Leaf 2","China, Qing dynasty","DescriptionLeaf 2 This leaf is, perhaps, based on Du Mu's poetic line: The herdboy pointed to the distant Apricot Village. Han Tan's colophon reads: A thousand feet of red cliffs look like a sculptured flower of furong; In one glance, the long bridge joins adjacent ridges. Furthermore a wine shop stands in a bamboo grove; The fellow who bought some good wine is drunk on the eastern shore of the stream.",Type of artwork: Painting
Autumn Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
Round Box with Bird and Peonies Design,,"DescriptionThe carved lacquer box and lobed silver container nearby both feature pairs of birds and flowers on their covers. There is a striking similarity in decoration, shape, and aesthetic appeal. Both boxes suggest that successful designs and shapes circulated among craftsmen, workshops, and beyond regional borders.",Type of artwork: Lacquer
Armchair,"America, New York, 19th century","DescriptionLouis Comfort Tiffany began his artistic career as a painter, having studied with George Innes and Samuel Colman in America as well as with various artists in Paris. While he achieved some early success with his orientalist works, his interests were soon drawn to interior furnishings and design. He collaborated with other artisans to form Associated Artists in 1879 and began work on major commissions such as the Mark Twain House (1881) and the White House for President Chester Arthur (1882). He debuted designs for furniture at the 1893 Chicago world's fair, and this armchair is believed to have been among those pieces. Even after he achieved enormous success with his glass production, Tiffany continued to produce interior furnishings and design schemes for artistic interiors throughout the rest of his career.",Type of artwork: Furniture and woodwork
"The parrot addresses Khujasta at the beginning of the forty-first night, from a Tuti-nama (Tales of a Parrot): Forty-first Night",,"DescriptionOn the forty-first of fifty-two nights, Khujasta consults Tuti the parrot for advice on how to balance her lover’s wishes with her vow of marriage. Tuti, perched atop his cage, responds by telling her a story about a donkey who was punished for singing too brazenly.",Type of artwork: Painting
Bowl with Butterflies and Flowers,,,Type of artwork: Ceramic
Vase of Flowers,"France, 20th century",,Type of artwork: Painting
"Bowl with Poppies, Tree Peony, and Flowering Mimosa",,"DescriptionDevelopments in enamel technology led to new possibilities in polychrome decoration. Pinks appeared, lending their name to the new palette of overglaze colors (famille rose), and the addition of opaque white allowed painters to vary the value of pigments, enhancing the painterly quality of porcelain decoration. As on painted scrolls and album leaves, the image is accompanied with a poem, in this case: ""Branches come alive in the moonlight; Blossoms fill the autumn realms.""",Type of artwork: Ceramic
Masks and Flowers,"America, 20th century",,Type of artwork: Print
Border Fragment with Birds and Flowers,,,Type of artwork: Embroidery
Untitled (portrait of a man with glasses and mustache set into flower design),,"DescriptionThis Hindu gentleman’s wedding portrait recalls the roundels of flowers with the bust or face of a nature divinity in the center, often found on the railings or fences separating sacred from mundane space. Those auspicious divinities personify the life-giving forces of nature. Here the groom becomes a personification of wealth and abundance, his clothing updated to accord with the fashions of the day.",Type of artwork: Photograph
Flower of Erebus,"America, Ohio, Cleveland",,Type of artwork: Sculpture
"Lotuses, Insects, and Birds",,"DescriptionPairs of herons, kingfishers, and dragonflies punctuate a profusion of lotus in this composition that, given the orientation of the herons and the clustering of motifs in the left-hand side of the work, may have once been the left painting of a pair. Given its subject matter, this hanging scroll may have been hung for display during the summer.",Type of artwork: Painting
Small Dish with Flowers,,,Type of artwork: Ceramic
Figure of a Gardener,"England, London, Bow","DescriptionEven though this figure and her counterpart (1945.37) are not accompanied by a sheep, these ceramic sculptures were sometimes known as “Garland Shepherds” during the mid-1700s. The name derived from a similar set produced by one of the Bow Porcelain Factory’s rivals, the Derby Porcelain Factory, in which the male figure holds a lamb. While these two factories often produced similar sets of pastoral, allegorical, biographical, and religious figures, the Bow Factory was known as one of the preeminent porcelain manufacturers, rivaled only by the Chelsea Porcelain Factory, with which Bow would later merge.",Type of artwork: Ceramic
A Beauty,"Japan, Edo period","DescriptionMany ukiyo-e paintings and prints focus on bijin (美人), or “beautiful people.” Female courtesans and entertainers were the main draw in the pleasure district of Edo (now Tokyo), but young men were also available. The poem here reads as follows: ""The full blooming cherry / is not the only flower worth mentioning. / The color of the young plum tree / blooms as well.""The full blooming cherry is a metaphor for mature women, and the plum for young men.",Type of artwork: Painting
"Fish and Flower and Female Buddha (Sakana, Hana to Butsujo)","Japan, 20th century","DescriptionExecuted quickly with brush and ink, this sketch captures the artist’s first inspiration. Since Munakata did not slavishly follow his preparatory drawings when he carved the woodblock, they only give a general idea of the final image.",Type of artwork: Drawing
Figures Depicting the Four Seasons,"England, Bristol","DescriptionIn this group depicting the four seasons, a young boy in ice skates represents winter; a young lady adorns her hair with flowers in spring; a young man guards his beehive in summer; and a girl gathers fruit in autumn.",Type of artwork: Ceramic
"Octafoil Mirror with Paired Phoenixes, Birds, and Flowers",,,Type of artwork: Metalwork
Votive Hanging with Image of Kannon (Kannon Kakebotoke),,"DescriptionKakebotoke (literally “hanging Buddhist deities”) like this appeared from the latter part of the Heian period. They often hung on the doors of a Shinto shrine hall to indicate the Buddhist manifestation of the god, or kami, inside, or along the eaves of a Buddhist temple hall to indicate the Buddhist deity celebrated there.",Type of artwork: Sculpture
Border Fragment with Birds and Flowers,,,Type of artwork: Embroidery
"Centerpiece, or Jardinière",,"DescriptionRegrettably, a maker's mark does not appear on this piece: thus the factory that made it remains unknown.  Nevertheless, its design, castings, and gilding are of fine quality and indicate that it is the product of a group of talented craftsmen who worked in the robust taste of the second quarter of the 19th century.",Type of artwork: Metalwork
Section of Monolithic Railing with Bather and Lotus Medallions,,"DescriptionRailings demarcated a sacred space, such as a tree shrine or a stupa. Images associated with purifying waters were carved on the railings, as if to symbolically cleanse those who passed through the gate. Under a fruit-bearing tree is a young woman squeezing water from her hair. In a visual depiction of an ancient Indian poetic trope, a goose mistakes the drops of water for pearls and comes to eat them.",Type of artwork: Sculpture
Flowers in a Vase,France,,Type of artwork: Print
"Fish and Flower and Female Buddha (Sakana, Hana to Butsujo)","Japan, 20th century","DescriptionMunakata cut away what he did not want to print. Whatremains in relief--that is, the raised portions of the carved woodblock--is inked and printed. Printing reverses the image.",Type of artwork: Woodblock
Twelve Months of Flowers:  January,"England, 18th century",,Type of artwork: Print
Summer Flowers,"Japan, early Edo period",,Type of artwork: Painting
Portrait of Mary Wise,"England, 18th century","DescriptionMary’s modest and contemplative demeanor is a counterpoint to a rather elaborate ensemble consisting of a gown embroidered with gold flower sprigs, trimmed with lace and pearls, and tied with a gold sash, as well as a gold-striped veil and a bracelet with eight gold bands. Gainsborough’s compact oval format and the sitter’s informal pose lend this portrait an air of intimacy.",Type of artwork: Painting
Courtesan Reading a Poem Slip Tied to Flowers in a Vase,"Japan, Edo period",,Type of artwork: Print
Flowers,"America, 20th century",,Type of artwork: Print
Nine Celestial Bodies (Navagraha),,"DescriptionNear temple entrances, the nine celestial bodies were depicted in an orderly row, often in figural form. From left to right they are: Sun with a tall crown and the female Dawn in front of him. The next five figures are nearly identical: Moon, Mercury, Venus, Mars, and Jupiter. As a portent of doom, Saturn was wounded by a goddess to prevent him from moving swiftly, so he stands on one leg. The bodiless head is Rahu, the eclipse, who swallows the moon until it falls out his neck. The serpent-tailed figure is a comet.",Type of artwork: Sculpture
Tub-shaped Flower Pot,"France, Vincennes",,Type of artwork: Ceramic
Fang Xuanling Pedestal,,"DescriptionThis double lotus pedestal exhibits the rich, ornate style of early Tang sculpture. It was commissioned by the Duke of Liang, Fang Xuanling (578–648), for the blessing of his second son and daughter-in-law, the Tang imperial princess of Gaoyang. The iconography and inscription suggest that it originally went with a statue, now missing, of Shakyamuni, the historical Buddha, instead of Amitayus.Today the pedestal is topped with Amitayus, the Buddha of Infinite Life, seated in meditation. Although the pedestal was not made with the statue, the combination is faithful to the original artistic conception.",Type of artwork: Sculpture
Flora [II],"Austria, Vienna","DescriptionAlso affectionately called Pepi’s Flora after Josef Frank’s childhood nickname “Pepi,” this design depicts imaginary wildflowers concocted by Frank. The whimsically placed yet tightly packed flowers are meant to evoke flowers in the background as well as the borders of French tapestries.",Type of artwork: Textile
The Flowers,"Italy, 20th century",,Type of artwork: Print
Table with Flowers,"America, 20th century",,Type of artwork: Painting
Lily of the Valley Comb,"France, early 20th Century","DescriptionThis comb was purchased by Cleveland native Jeptha Homer Wade II from Lalique after admiring the designer's work at the 1900 Exposition Universelle in Paris, probably for his wife Ellen Garretson Wade. Pearlescent horn forms the leaves of the lily of the valley, out of which the delicate, bell-shaped enamel flowers emerge.",Type of artwork: Jewelry
