Title,Country of Creation,Description,Type of Artwork
Leaf from a Book of Hours: The Raising of the Cross,,"DescriptionThis finely painted miniature is the work of an artist familiar with the designs of Albrecht Dürer (1471–1528). Though not deriving from a known engraving or drawing, the style, composition, and especially the modeling of the figure of Christ refer to the draftsmanship and tonalities found in Dürer's works. This miniature depicts the moment the cross is raised. In the foreground, thuggish brutes struggle to bring it upright. The skull of Adam at the foot of the cross signifies that Golgotha was Adam's burial place. In the background, a vivid blue sky recedes into pink as it meets the horizon and a distant town. The inclusion of an illusionistic, trompe l'oeil border, strewn with flowers and butterflies on a gold ground, follows the tradition of Ghent and Bruges, where such borders were first developed during the 1470s and 1480s.",Type of artwork: Manuscript
Leaf Excised from a Book of Hours: The Nativity,"Flanders, Ghent, 15th century","DescriptionThis book, made by an artist of the Ghent-Bruges school of illumination, represents the culmination of Flemish book painting. Its main features were the use of rich colors, decorative and illusionistic effects, a love of landscape, and a strong sense of visual narrative. Its most distinctive innovation was the development of a new style of border decoration featuring realistic motifs which cast shadows onto colored grounds to create an effect of spaciousness. These motifs included a diverse assortment of flowers, butterflies, insects, birds, and sprays of acanthus foliage.",Type of artwork: Manuscript
Paintings after Ancient Masters: A Lohan [after Guanxiu],"China, Ming dynasty","DescriptionThe twenty paintings in this double album by Chen Hongshou include landscapes, figures, and flowers. It also has one leaf featuring a woman, an often-used subject not found in the other albums from the latter part of his career. His late works are wonderful summations of Chen's peculiar and quirky art—archaistic, hyper-refined—but without accompanying shallowness or sentimentality.His figures and landscapes in the late albums are miniaturized, not unlike the small Chinese gardens, or the carefully selected small table rocks or old roots used for contemplation to see the world in miniature. This loss of scale is quite deliberate and reflects the psychological situation of a depressed class like the Ming loyalist officials and scholars, deprived of their integrity and honor, and forced to lead a diminished and restricted existence.",Type of artwork: Painting
"The Quay of Flowers and Notre Dame, Paris","America, 20th century",,Type of artwork: Print
Lid for an Incense Burner with Flowers and Dots,"Japan, Meiji period",,Type of artwork: Ceramic
Door (right),,"DescriptionTypical of Muslim-inspired ornamentation, these doors reflect a love of geometric decoration stemming from a nonrealistic artistic tradition. They consist of applied wood strips that form eight-point stars, flowers, and geometric interlace designs. Such designs are reflected in the tiles, ceramic vessels, and metalwork of Muslim-occupied Spain. The origin of the doors is not known, but they may have belonged to a palace or domestic residence. In 711 the Moors had invaded and conquered nearly the entire peninsula. During the next 750 years, independent Muslim states were established, and the entire area of Muslim control became known as Al-Andalus. Muslim philosophers and scientists developed knowledge in areas like medicine, optics, algebra, chemistry, and geometry, as seen here.",Type of artwork: Furniture and woodwork
"Gettysburg, Pennsylvania","America, 20th century","DescriptionAlthough this photograph belongs to Friedlander’s American monuments series, the monuments themselves are nearly obscured by a web of flowering branches. Gettysburg, site of the bloodiest battle of the Civil War, is here tranquil and serene in Friedlander’s unconventional framing of his subject. Half-hidden behind their curtain of blossoms, these monuments no longer memorialize the violence of war but meld quietly into the peaceful landscape.",Type of artwork: Photograph
Pair of Boots,,"DescriptionThe fabric and tailoring of garments have always defined social status. For these boots, different outer fabrics were used: a patterned silk for the leg portion, and tapestry (kesi) for the foot. Since both were considered luxury fabrics, they were pieced together from remnants too precious to discard. Consequently, the silk pattern was not used in relation to the form of the boot. By contrast, these boots would have been made for a court official, not a member of the imperial family. The patterned silk was woven with geese flanking a vase of flowers on a stand and surrounded by cloud scrolls. The Chinese motif of flowers arranged in a vase was adopted by the Liao during the 11th century and indicates an 11th- or early 12th-century date for the boots.",Type of artwork: Garment
Mountain and River on the Kiso Road,"Japan, Edo period","DescriptionLate in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene features a river passing snow-covered mountains along the Kiso Road.",Type of artwork: Print
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
"Sketchbook, Spain: Page 84, Studies of Flowers",,,Type of artwork: Bound Volume
Panel from a Head Covering (‘ajar),,"DescriptionThis panel was part of an urban Tunisian woman’s head-covering (‘ajar). Two such panels flanked a face-obscuring black panel. Such luxurious garments of seclusion were once reserved for elites. The decorative panels draped down when worn, showing off the finely woven motifs and demonstrating the wearer’s family wealth. Arranged in bands, motifs include stylized trees (or protective hands), flowers, eight-pointed stars, and geometric designs. The mirrored Kufic (squared Arabic script) lettering in teal is likely the name of the weaver or panel owner. Weavers with Muslim Andalusian (southern Spanish) heritage originally made these, drawing from Andalusian and Turkish motifs; later, workshops in Tunis produced them.",Type of artwork: Textile
Preparatory Drawing for: Flowering Tree-Moonlight,"America, 20th century",,Type of artwork: Drawing
Sarong,,"DescriptionBatiks made in the North Coast region of Java, specifically in Pekalongan, were influenced by both Indian and European motifs due to the Dutch presence in Indonesia. In this sarong we see a mixture of Indian and European flowers including jasmine, lilac, and daffodil. Batik is a wax-resist dyeing technique used throughout Java. Hot wax is applied with a tool known as a canting and a design is hand drawn with incredible skill. This sarong was then dyed with indigo, a well sought after and culturally important natural dye. Areas on the fabric with wax will not accept the indigo dye, hence the term wax-resist.",Type of artwork: Textile
Birds in a Tree,,"DescriptionThis scene of two Chinese pheasants with a flowering plum tree (a sign of the arrival of spring in Japan) is not painted. All the lines and surfaces are created by colored threads carefully stitched together into the silk. Consequently, the surface appears quite different from paintings on paper.",Type of artwork: Textile
Mountain and River on the Kiso Road,"Japan, Edo period","DescriptionLate in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene features a river passing snow-covered mountains along the Kiso Road.",Type of artwork: Print
Evening View of the Eight Famous Places near Kanazawa Under Full Moon in Musashi Province,"Japan, Edo period","DescriptionLate in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene shows the autumn moon over Kanazawa, near Tokyo. Hiroshige’s contemporaries would have recognized the coastline dotted with villages, fishing boats, and the distinctive double-arched bridge at the bottom right.",Type of artwork: Print
Mirror with Four Spirits,,"DescriptionInscription: The immortal peaks rise as twins. The wise river now has a rival. Morning flowers are made bright and charming. At night, its light reflects the moon. The dragon coils around the jade disc. A pair of fabulous birds dance in harmony. It is said the Renshou era Was when the war began to end.",Type of artwork: Metalwork
Paintings after Ancient Masters: Volume 1,"China, Ming dynasty","DescriptionThe twenty paintings in this double album by Chen Hongshou include landscapes, figures, and flowers. It also has one leaf featuring a woman, an often-used subject not found in the other albums from the latter part of his career. His late works are wonderful summations of Chen's peculiar and quirky art—archaistic, hyper-refined—but without accompanying shallowness or sentimentality.His figures and landscapes in the late albums are miniaturized, not unlike the small Chinese gardens, or the carefully selected small table rocks or old roots used for contemplation to see the world in miniature. This loss of scale is quite deliberate and reflects the psychological situation of a depressed class like the Ming loyalist officials and scholars, deprived of their integrity and honor, and forced to lead a diminished and restricted existence.",Type of artwork: Painting
Plum Blossoms,"China, Qing dynasty","DescriptionA native of Anhui province, Wang Shishen was a professional painter who specialized in plum blossoms. He moved to Yangzhou in the late 1720s to seek patrons. Here, the daring composition of a flowering plum branch is balanced through the addition of four poems. Wang’s poems evoke nostalgia for the forgotten Six Dynasties period and the glorious Sui dynasty, during which the Grand Canal was built while Yangzhou was the southern capital of the empire. Other inscriptions in the upper part of the painting allude to the fact that Wang had developed blindness in one eye, probably at the time he conceived this painting.",Type of artwork: Painting
Jaswant Singh of Jodhpur (reigned 1635–1678),,"DescriptionMughal emperors forged alliances with the Hindu rulers of territories under their control by offering them positions of military authority within the Mughal court. Jaswant Singh, the raja (ruler) of Jodhpur, served as a military officer under the emperors Shah Jahan (reigned 1627–58) and Alamgir (also known as Aurangzeb; reigned 1658–1707). The flowering plants at the end of his sash became popular during the reign of Shah Jahan. His military accouterments include two swords and a stabbing dagger. The sensitive shading and mode of dress are closely based on Mughal styles, indicating Jodhpur’s close allegiance to the Mughal empire.",Type of artwork: Painting
"Queen Juliana Receives Visitors and Flowers on her Birthday, Soestdijk, Holland","America, 20th century",,Type of artwork: Photograph
Zephyre and Flore,"France, 18th century","DescriptionFollowing the method of Bonnet, his mentor and colleague, Janinet created luxurious sets of color prints with printed gold frames and passed them off as foreign imports. Because the printmakers’ unauthorized use of gold leaf was eventually caught, only a limited number of gilded examples were produced. Impressions of these prints are scarce today, as many were ruined after being displayed in homes. This allegory of spring depicts Zephyre, the classical personification of the west wind, with his lover Flore, goddess of flowers",Type of artwork: Print
Nagisa Palace from the Tales of Ise,"Japan, Edo period","DescriptionThis screen depicts an episode from the Tales of Ise, a 10th-century collection of poems and associated narratives in which the main character composes the following poem while drinking sake and viewing cherry blossoms: If, in this world of ours / All the cherry blossoms / Disappeared / The heart of spring / Might find peace.Our hero relaxes on a shoulder rest, gazing at the flowers, his sake dish before him on a lacquered stand. A plump boy attendant monitors the sake dishes, a ewer at the ready. An associate sits with paper, ink, and brush, poised to record poems.",Type of artwork: Painting
Evening View of the Eight Famous Places near Kanazawa Under Full Moon in Musashi Province,"Japan, Edo period","DescriptionLate in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene shows the autumn moon over Kanazawa, near Tokyo. Hiroshige’s contemporaries would have recognized the coastline dotted with villages, fishing boats, and the distinctive double-arched bridge at the bottom right.",Type of artwork: Print
Bowl,,"DescriptionFlowers in vivid colors including peonies, lilies, and chrysanthemums are set against a brilliant red enamel ground. The petals and veins of leaves are depicted in fine outlines and soft colors demonstrating the craftsman’s excellent painting skill. This porcelain exemplifies the technical perfection of Qing dynasty court artisans who surpassed their predecessors in technical skill. The bowl bears a mark on its base reading “Made for Emperor Yongzheng 雍正御製.” The Yongzheng emperor was one of the three early Qing emperors whose taste greatly influenced art production and collecting.",Type of artwork: Ceramic
Embroidered Sash (Uckur),,DescriptionEach end of the sash is embroidered with a single motif of large-scale flowering plants. Below the main motif is a stylized foliate device forming a narrow border.,Type of artwork: Embroidery
Dinner Service (Rousseau service): Flowers (no. 23),"France, 19th century",,Type of artwork: Print
"History of the Ceramic Art: A Descriptive and Philosophical Study of the Pottery of All Ages and All Nations: China: Porcelain, Colored Upon Biscuit, Teapot, with Raised Handle.  Teacup in the form of a Flower (Plate II)","France, 19th century",,Type of artwork: Bound Volume
Women Chasing Crickets on an Autumn Moor,"Japan, Edo period","DescriptionIn the waning days of summer, autumn insects begin to sing, heralding the approach of autumn. The two courtesans and their servant chase crickets among flowering bush clover, one of the flowers of autumn. In the background ancient courtiers enjoy the same pastime. Note the plovers, or chidori, on the kimono of the woman on the left. These are shorebirds that migrate through Japan during the autumn and spring. Chidori in flight have been a favored theme of art and poetry for more than a thousand years in Japan.",Type of artwork: Print
"Radha Awaiting Reconciliation with Krishna, from a Gita Govinda of Jayadeva",,"DescriptionThe artist has depicted Krishna’s favorite lover, Radha, six times to emphasize her agitation while she waits for Krishna. She has made intimate enclosures of flowering branches for their tryst, she pleads with a picture of him, and she lays out blossoms and liquor under a tree in preparation. Her confidante makes an appeal to Krishna who sits under a tree at right, seemingly unmoved and dispassionate. The viewer is meant to put oneself in the place of Radha, and feel her intense longing for Krishna. Even when it seems like the god does not come when he promises, that he does not care, the devotee, like Radha, should continue to wait and prepare to receive him.",Type of artwork: Painting
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
"Woman selling flowers during revolution, Hungary","Austria, 20th century",,Type of artwork: Photograph
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
"Sketchbook, Spain: Page 48, Studies of Flowers",America,,Type of artwork: Bound Volume
Gunakali Ragini,,"DescriptionPaintings made in the city of Jaipur took on a confectionary palette that became popular among newly expanded markets around India and abroad. With the disintegration of centralized imperial power, the Rajput kingdom of Jaipur began independently producing art that had mass appeal. Sets of paintings by royal court artists, such as the Ragamala series from which this page came, were made for sale, rather than for the private collection of the king. The revenues from their sale ensured the prosperity of the kingdom. The verse associated with Gunakali Ragini, a wintertime raga, states that the heroine “sets mandara flowers in a golden jar and seated, plucks them, with her mind fixed on love’s sport.”",Type of artwork: Painting
"The Several Habits of English Women, from the Nobility to the Country Women as they are in these times:  The Woman with a Mannish Hat and Flowered Petticoat","Bohemia, 17th century",,Type of artwork: Print
Chasuble,,"DescriptionThis rare chasuble decorated with angels, musicians, pomegranates, and flowers represents Sacred and Profane Love. This is indicated by two figures—a clear-sighted figure embracing a blindfolded figure—standing on a globe in the upper center and also by the musicians. The angels play soft-sounding instruments (harpsichords, harps, viole da barccio, and flutes) while earthy figures play loud instruments (tambours and hunting horns). The chasuble was most likely part of a liturgical set commissioned for a wedding. This entire chasuble is embroidered with silk and metal thread laid over linen and stitched in place. The exceptionally fine workmanship, lavish use of gold and silver, and brilliant silk thread create this sumptuous vestment.",Type of artwork: Embroidery
Paintings after Ancient Masters: Volume 2,"China, Ming dynasty","DescriptionThe twenty paintings in this double album by Chen Hongshou include landscapes, figures, and flowers. It also has one leaf featuring a woman, an often-used subject not found in the other albums from the latter part of his career. His late works are wonderful summations of Chen's peculiar and quirky art—archaistic, hyper-refined—but without accompanying shallowness or sentimentality.His figures and landscapes in the late albums are miniaturized, not unlike the small Chinese gardens, or the carefully selected small table rocks or old roots used for contemplation to see the world in miniature. This loss of scale is quite deliberate and reflects the psychological situation of a depressed class like the Ming loyalist officials and scholars, deprived of their integrity and honor, and forced to lead a diminished and restricted existence.",Type of artwork: Painting
"Sketchbook No. 6, page 186: Pencil sketch of flowers",America,,Type of artwork: Bound Volume
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Bust of Mademoiselle Lender,"France, 19th century","DescriptionToulouse-Lautrec made several portraits of the actress Marcelle Lender at the height of her stardom in 1895 when she was featured in the operetta Chilpéric--libretto and music by Hervé--performed at the Théâtre des Variétés in Paris. The artist attended the production on more than 20 occasions, arriving just in time to see the final bolero in which Lender’s multilayered skirts created an explosion of bright pink and green tulle as she danced. With the fuchsia flowers and green cape, Toulouse-Lautrec evoked the performance that helped win Lender acclaim.",Type of artwork: Print
Blessed Lord Buddha,,"DescriptionThe central figure of the Buddha, radiating light and the flame of enlightenment, is flanked by his four main disciples: Sariputra and the blue Moggallana on his left, and Ananda and Anuruddha on his right. Below him is the earth goddess holding a pot of water on her head. To her right are three guardians of Sri Lanka: Kataragama (or Skanda) with six heads and twelve arms; the blue Vibhishana, younger brother of Ravana; and, smaller in size, may be Pattina holding an anklet and neem leaf. On the opposite side are three deities: Sumana, the four-faced Brahma, and four-armed Shiva with trident. Arranged around two depictions of the bodhi tree under which the Buddha reached enlightenment, rows of other monks bear garlands in veneration. Each of the standing protector divinities around the periphery grasps a bow and arrow.This painting evokes the appearance of 18th- to 19th-century murals in Sri Lankan Buddhist temple interiors, such as those at Dumbulla, with its rows of golden figures. It was probably part of a domestic shrine, along with small sculptures of the Buddha, palm-leaf manuscripts of Pali scriptures, incense, oil lamps, bells, and other offerings such as food, flowers, and water. The varnish that covers the painting may have been intended to shield it from the environment of an active place of worship.",Type of artwork: Painting
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Leaf Excised from a Book of Hours: Decorated Initial H,"North Netherlands, Zwolle(?), 15th century","DescriptionThe difficulty in localizing Dutch manuscripts of the second half of the 15th century is formidable. Many shared or exchanged characteristics are found, particularly in terms of page layout, border decoration, and initial design. The present leaf contains borders embellished with brightly colored flowers (columbines) and acanthus leaves filled in with gold bezants, tiny green leaves, and little black dots. Though different in palette, these elements bear closest resemblance to borders and initials produced by a group of artists associated with the Zwolle Bible (Utrecht, Universiteitsbibliotheek, MS. 31). The original illuminators are believed to have worked within the Monastery of the Canons Regular at Agnietenberg. This leaf is painted in an associated style by an artist who must have been familiar with the Zwolle group.",Type of artwork: Manuscript
Queen of the May,"England, 19th century","DescriptionA major figure in the development of British photography, Cameron elevated the portrait to new artistic heights. She never opened a commercial studio or accepted commissions, but she was one of the first photographers to sell her photographs through a fine art gallery. Friends, neighbors, family, and servants were cajoled into modeling for portraits as themselves and as allegorical figures from history, religion, mythology, and literature. Little is known about Emily Peacock, who posed here as the protagonist in The May Queen by Britain’s poet laureate Alfred Tennyson. Typically crowned with flowers, the May Queen is selected as part of the celebrations on May 1, a traditional spring holiday in many cultures in the Northern Hemisphere.",Type of artwork: Photograph
Bottle-shaped Vase,,"DescriptionThis spectacular vase, one of a pair in the collection, depicts flowering and fruiting peach trees to convey an auspicious message of affluence and long life. Developments in enamel technology led to new possibilities in polychrome decoration of Qing imperial porcelains. Pinks appeared, lending their name to the new palette of overglaze colors (famille rose), and the addition of opaque white allowed painters to vary the value of pigments, enhancing the painterly quality of porcelain decoration.",Type of artwork: Ceramic
"History of the Ceramic Art: A Descriptive and Philosophical Study of the Pottery of All Ages and All Nations: China: Porcelain, Colored Upon Biscuit, Teapot, with Raised Handle.  Teacup in the form of a Flower (Plate II)","France, 19th century",,Type of artwork: Bound Volume
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Pair of Boots,,"DescriptionThe fabric and tailoring of garments have always defined social status. For these boots, different outer fabrics were used: a patterned silk for the leg portion, and tapestry (kesi) for the foot. Since both were considered luxury fabrics, they were pieced together from remnants too precious to discard. Consequently, the silk pattern was not used in relation to the form of the boot, as seen in some other imperial boots. By contrast, these boots would have been made for a court official, not a member of the imperial family. The patterned silk was woven with geese flanking a vase of flowers on a stand and surrounded by cloud scrolls. The Chinese motif of flowers arranged in a vase was adopted by the Liao during the 11th century and indicates an 11th- or early 12th-century date for the boots.",Type of artwork: Garment
"Nude Study, Girl Sitting on a Flowered Cushion","America, 20th century",,Type of artwork: Print
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
"Sketchbook, Spain: Inside Back Cover, Studies of Flowers",,,Type of artwork: Bound Volume
Boating in a Spring River,China,DescriptionThis fan painting shows a charming scene of figures boating in a river framed by overhanging branches flowering in pink. The inscription states: “Today is the Dragon Boat Festival. This is painted to welcome my daughter Yishan home for a reunion. Inscribed by Baoshi in the early evening of 25 June 1963.” It is noteworthy that Fu Baoshi chose a joyful spring scene to express his delight about his daughter having returned home.,Type of artwork: Painting
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
"Sketchbook, Spain: Page 48, Studies of Flowers",America,,Type of artwork: Bound Volume
Mountain and River on the Kiso Road,"Japan, Edo period","DescriptionLate in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene features a river passing snow-covered mountains along the Kiso Road.",Type of artwork: Print
Snakeshead,"England, Walthamstow, Early 20th century","DescriptionWhen Morris designed Snakeshead in 1877, Indian silks were in style and widely imported from British India. This design stands out for its diminutive motifs and the strong red and black colors, which were fashionable only for a short time before paler hues regained favor with clients. While its color scheme suggests distant lands with warmer climates, the pattern showcases one of Morris’s favorite flowers: the fritillary, a wildflower that he remembered growing in the meadows near Oxford.",Type of artwork: Textile
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Fragment,"Italy, Florence, 16th century","DescriptionThe Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta.",Type of artwork: Sculpture
Dinner Service (Rousseau service): Flowers and Insects (no. 15),"France, 19th century",,Type of artwork: Print
Young Girl in Flowered Dress with Organdy Collar,France,,Type of artwork: Print
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Pair of Boots,,"DescriptionThe fabric and tailoring of garments have always defined social status. For these boots, different outer fabrics were used: a patterned silk for the leg portion, and tapestry (kesi) for the foot. Since both were considered luxury fabrics, they were pieced together from remnants too precious to discard. Consequently, the silk pattern was not used in relation to the form of the boot, as seen in some other imperial boots. By contrast, these boots would have been made for a court official, not a member of the imperial family. The patterned silk was woven with geese flanking a vase of flowers on a stand and surrounded by cloud scrolls. The Chinese motif of flowers arranged in a vase was adopted by the Liao during the 11th century and indicates an 11th- or early 12th-century date for the boots.",Type of artwork: Garment
