Title,Country,Period,Classification
Textile Design with Vertical Rows of Bunches of Stylized Flowers and Stems with Leaves Framed by a Shade of Thorns Separated by Vertical Garlands of Branches with an Undulating Ribbon with Pearls and Small Stylized Flowers Inside a Circular Frame,Null,Date Unknown,Drawings
"White Rose (Rose, Madame Plantier), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Golden Rod (Solidago Canadensis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Water Lily (Nymphaea adorata), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Peony (Paeonia Officinatis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Jack Rose (Rose Jacqueminot), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"American Beauty Rose, from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Violet (Viola Canina), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Tiger Lily (Lilium superbum), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Pearl Rose (Perle des jardins), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Lily of the Valley (Convallaria Majalis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Sunflower (Helianthus annuus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Moss Rose (Rosa Muscosa), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Calla Lily (Richardia Nethiopica), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Poppy (Papaver Rhoeas), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Daisy (Chrysanthemum leucanthemum), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Illustrated Catalogue and Wholesale Price-List of Fancy Earthen Ware, Hand and Machine Made Flower Pots, Both ""Standard"" and Regular",Null,Date Unknown,Books
"Vignette with a Flower Garland, a Maltese Cross, and a Shield with a Crown and Fleur-de-Lis, from Les Métamorphoses d'Ovide en Latin et en François de la traduction de M. l'Abbé Banier de l'Académie Royale des Inscriptions et Belles-Lettres. Avec des explications historiques. A Paris Chez Despilly rue saint Jacques à la croix d'or. MDCCLXVII. Avec Approbation et Privilège du Roi",Null,Date Unknown,Prints
"Tulip: A Declaration of Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
Actress holding flower from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Null,Date Unknown,Photographs
"Flowering Peach Trees, Provence",Null,Date Unknown,Paintings
"Radha and Krishna Walk in a Flowering Grove
 (recto); Krishna Fluting (verso)",Null,Date Unknown,Paintings
"John Yellow Flower, No. 40, collector card from the American Indian Series (D6), issued by the Kelley Baking Company to promote Kelley's Bread",Null,Date Unknown,Prints
Fragment of a Cover or Blanket with Ornamental Square Featuring Flowers and Animals,Egypt,Date Unknown,Textiles
The Lady's Flowers,Null,Date Unknown,Paintings
Design for a Valance with a Grotesque Motif and Thin Garlands of Flowers and Leaves with a Scrolling Frame,Null,Date Unknown,Drawings
The Queen of Flowers,Germany,Date Unknown,Prints
Design for a Fireplace (?) with Bundles and Garlands of Flowers Decorated with Musical Instruments,Null,Date Unknown,Drawings
Case (Inrō) with Design of Two Persons with Wide Hats Pulling a Boat (obverse); Boat with Flowering Plants (reverse),Japan,17th - 20th Century,Inrō
Case (Inrō) with Design of God of Longevity (Jurōjin) beside Flowering Plum Tree (obverse); Karako Walking on Bridge (reverse),Japan,17th - 20th Century,Inrō
"“The Courtesan Hanazuma Reading a Letter,” from the series Beauties Compared to Flowers (Bijin hana awase)",Japan,17th - 19th Century,Prints
"Snow on the Sumida River (Sumida), from the series, Snow, Moon, and Flowers (Setsugekka)",Japan,17th - 19th Century,Prints
Case (Inrō) with Design of River in Spring with Flowering Cherry Trees (obverse); River in Autumn with Maple Leaves (reverse),Japan,17th - 20th Century,Inrō
"Venus stepping out of the sea, holding a billowing drapery in her left hand, Cupid at right offering pearls while riding a dolphin and a putto at left offering flowers, another in the clouds",Null,Date Unknown,Prints
Ring of Flowers,Japan,20th - 21st Century,Ceramics
Banknote motif: hexagonal ornament with rippled edges with a pointed star at its center and flowers and leaves below,Null,Date Unknown,Prints
"Banknote motif: the number 100 against an ornamental lathe work oval resembling woven rope with a border of grain, flowers and berries",Null,Date Unknown,Prints
"Saint Barbara holding palm leaves with a sword and flowers at her feet, two putti overhead holding a laurel",Null,Date Unknown,Prints
Seitei’s Birds and Flowers Painting Manual,Japan,19th - 20th Century,Illustrated Books
Design for one section of a ceiling painted in trompe l'oeil iron work with flowering vines and birds,Null,Date Unknown,Drawings
"Venus stepping out of the sea, holding a billowing drapery in her left hand, Cupid at right offering pearls while riding a dolphin and a putto at left offering flowers, another in the clouds",Null,Date Unknown,Prints
Box decorated with flowers and clouds,Korea,14th - 20th Century,Lacquer
Case (Inrō) with Design of Grasshopper on Stalk of Flowering Lily,Japan,17th - 19th Century,Inrō
Five pink flowers with foliated tendrils,Null,Date Unknown,Textiles
"Broadsheet with a ballad addressing poverty, woman sitting in a field of flowers with a duck that has a human's head",Null,Date Unknown,Prints
Broadsheet relating to Saint  Anthony of Padua who is shown holding the Christ child flanked by a candelabra with flowers,Null,Date Unknown,Prints
Saint John the Baptist with flowers,Null,Date Unknown,Prints
Conical bowl with flowers and birds (one from a set),China,12th - 14th Century,Metalwork
Inrō with the Noh Play Dōjōji (obverse) and Flowering Cherry Tree (reverse),Japan,17th - 20th Century,Inrō
Lobed dish with flowers and birds (one from a set),China,12th - 14th Century,Metalwork
Lobed bowl stand with flowers and birds (one from a set),China,12th - 14th Century,Metalwork
"Plate 15: four street vendors from Madrid selling flowers, socks, and skins, from 'Los Gritos de Madrid' (The Cries of Madrid)",Null,Date Unknown,Prints
"Flowers: (a) Peach-blossom and Spiritual Stone; (b) Camellia, Narcissus and Buddha's Hand",China,17th - 20th Century,Paintings
Lovers Beside Flowering Autumn Grasses,Japan,17th - 19th Century,Prints
Girl Arranging Flowers,China,17th - 20th Century,Paintings
"Profile of a woman sitting in a chair with her head back and holding a flower, illustration for 'Morir Soñando,' published by Antonio Vanegas Arroyo",Null,Date Unknown,Prints
Nude Woman Crowned with Flowers,Null,Date Unknown,Prints
"Primavera, a group of women collecting flowers and making crowns from them",Null,Date Unknown,Prints
"Two girls with flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Null,Date Unknown,Prints
Bell Flower (Pyramidal) from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Null,Date Unknown,Prints
"Blackwork Designs with Flowers and Commedia dell'Arte Figures, Plate 4 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Null,Date Unknown,Albums
"Blackwork Designs with Flowers, Plate 6 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Null,Date Unknown,Albums
"A Sheet of Studies of Flowers: A Rose, a Heartsease, a Sweet Pea, a Garden Pea, and a Lax-flowered Orchid",Null,Date Unknown,Drawings
Textile Design with Rosettes with Pearls as Pistils Grouped Together to Form Stylized Flowers over an Abstract Honeycomb Pattern in the Background,Null,Date Unknown,Drawings
Textile Design with Vertical Garlands of Stylized Flowers and Leaves and Pearls with Offsetting Branches Separated by Vertical Rows of Alternating Shuttle-Shaped Motifs with a Small Rosette Flanked by Two Leaves with Offsetting Branches,Null,Date Unknown,Drawings
"Girl in a blue dress clutching a basket of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Null,Date Unknown,Prints
"Girl carrying large bouquet of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Null,Date Unknown,Prints
"Girl in a brown dress with a basket of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Null,Date Unknown,Prints
Textile Design with Rosettes with Pearls as Pistils Grouped Together to Form Stylized Flowers over an Abstract Honeycomb Pattern in the Background,Null,Date Unknown,Drawings
"Oval Case Decorated  with Schweifwerk in Two Variants, Surrounded by Smaller Motifs, Flowers and Two Birds Below",Null,Date Unknown,Prints
Folding chair with two birds among flowers,China,13th - 17th Century,Furniture
"Band Fragment with Masks, Lotus Flowers, and Birds",Egypt,Date Unknown,Textiles
"Band Fragment with Masks, Lotus Flowers, and Birds",Egypt,Date Unknown,Textiles
Vase of Flowers Resting on Foliate Scrolls,Null,Date Unknown,Paintings
Shikishi (square calligraphy paper) Box with Design of Flowers and Praying Mantis,Japan,19th - 20th Century,Lacquer
The Oxford drawing book . . . illustrated by upwards of one hundred lithographic drawings . . . to which is added Lessons in flower drawing . . . by James Andrews.,Null,Date Unknown,Books
Bruce Flowers from Boxers Exhibits series (W467),Null,Date Unknown,Prints
Tiger Flowers from Boxers Exhibits series (W467),Null,Date Unknown,Prints
"John Yellow Flower, Ute, from the American Indian Chiefs series (N2) for Allen & Ginter Cigarettes Brands",Null,Date Unknown,Prints
"Billingsgate–Early Morning (recto); The Rag Merchant's Home–Coulston Street, Whitechapel (verso); The Old-Clothes Man (verso); A Flower Girl (verso), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Null,Date Unknown,Prints
"Putney Bridge–The Return (recto); Untitled (verso); Flower Girls (verso); Barnes Bridge (verso); The Oysterman (verso); Barnes Common–Calling the Carriages (verso), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Null,Date Unknown,Prints
Couplet on Water and Flowers,Null,Date Unknown,Calligraphy
"Illustrated Catalogue and Wholesale Price List of Fancy Earthen Ware: Hand and Machine-Made Flower Pots and Saucers, Plain and Fancy Hanging Pots, Ferneries, Garden Vases, Etc.",Null,Date Unknown,Books
"Actress with hat and flower brooch, from the Actresses series (N205) issued by Wm. S. Kimball & Co. to promote Old Gold Flake Cut",Null,Date Unknown,Photographs
Actress seated and holding a flower from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Null,Date Unknown,Photographs
"Design for a Valance in the Style of Louis XVI with Bushes and Garlands of Flowers and Containing Two Decorative Bunches of Leaves, Fruits and Flowers Holding Gardening Utensils and a Straw Hat",Null,Date Unknown,Drawings
"Actress wearing a dress with a white collar with flower details, from the Actresses series (N280) issued by D. Buchner & Co.",Null,Date Unknown,Prints
Design for a Valance with Bundles and Garlands of Flowers and Leaves,Null,Date Unknown,Drawings
Design for a Valance in with Thin Bushes and Garlands of Flowers and a Shell Motif with a Hanging Curtain,Null,Date Unknown,Drawings
Design for a Sofa Seat Cover (?) with an Ornamental Frame Containing a Vase with a Large Bundle of Flowers and Leaves and Decorated with Acanthus Leaves and Two Fleurs de Lys,Null,Date Unknown,Drawings
Leopard and Flowers,Null,Date Unknown,Prints
Album of American Wildflower Drawings,Null,Date Unknown,Albums
"Chest decorated with phoenixes, colored roundels (taegeuk), and flowers",Korea,14th - 20th Century,Furniture
[Young Woman Holding a Flower],Null,Date Unknown,Photographs
"Poem from the Collection of Elegant Flowers (Reikashū), one of the Scented-Paper Fragments (Kōshi-gire)",Japan,8th - 12th Century,Calligraphy
Jar decorated with flowers and insects,Korea,14th - 20th Century,Ceramics
Snow Flowers,Null,Date Unknown,Drawings
Birds and Flowers,Japan,14th - 16th Century,Paintings
"Design for a Sofa Back Cover (?) with an Ornamental Frame Containing a Large Horizontal Garland of Flowers and Leaves with Musical Instruments and a Vase, Decorated with Acanthus Leaves and Two Fleurs de Lys",Null,Date Unknown,Drawings
Hawaiian Flowers,Null,Date Unknown,Photographs
Hawaiian Flowers: Proteas,Null,Date Unknown,Photographs
[Flower Arrangement],Null,Date Unknown,Photographs
Summer Flowers,Null,Date Unknown,Prints
[Flowering Trees],Null,Date Unknown,Photographs
[Folk Painting: Vase of Flowers],Null,Date Unknown,Photographs
[Folk Painting: Vase of Flowers],Null,Date Unknown,Photographs
[Flower Shop],Null,Date Unknown,Photographs
"[Flower Shop Sign: ""ROSES $3.00""]",Null,Date Unknown,Photographs
"Case (Inrō) with Design of ""Nonomiya"" (Shrine in the Fields), from The Tale of Genji, chapter 10 (obverse);  Seven Autumn Flowers Growing beside a Torii and Fence, based on ""Sakaki,"" a Chapter from The Tale of Genji (reverse)",Japan,17th - 19th Century,Inrō
"Cherry Blossoms at Yoshino (Yoshino), from the series Snow, Moon, and Flowers (Setsugekka)",Japan,17th - 19th Century,Prints
"Six putti playing with the arms of Mars, four holding onto a large lance, one on the left wearing a helmet and a sword belt, holding a shield upright, and one placing a garland of flowers and leaves in a basket at right",Null,Date Unknown,Prints
"The Flight into Egypt; the Holy Family walking together, Saint Joseph pointing to the left and the Virgin carrying the infant Christ, an angel in front of her offering a flower, after Reni",Null,Date Unknown,Prints
"The Flight into Egypt; the Holy Family walking together, Saint Joseph pointing to the right and the Virgin carrying the infant Christ, an angel in front of her offering a flower, after Reni",Null,Date Unknown,Prints
"Design for a Two-Armed Candelabra with Rocaille Ornaments and Flowers, Plate 3 from an Untitled Series of Designs for Suspended Candelabra",Null,Date Unknown,Albums
Bowl of Flowers,Null,Date Unknown,Prints
"L'Oiseau Posé sur un Chardon en Fleurs (The Bird Standing on Thistle Flower), from Lux Claustri ou La Lumière du Cloitre (The Light of the Cloisters), plate 13",Null,Date Unknown,Prints
Flowers,Null,Date Unknown,Paintings
Flowers,Null,Date Unknown,Paintings
Flowers,Null,Date Unknown,Paintings
Flowers,Null,Date Unknown,Paintings
"""The ‘Crouching Dragon’ Plum Tree at Kameido” from the series An Array of Flowers, Beauties, and Famous Places (hana bijin meisho awase)",Japan,19th - 20th Century,Prints
[Flowers],Null,Date Unknown,Photographs
Parrot on a flowering branch,Null,Date Unknown,Prints
"Animals, Flowers and Birds",China,17th - 20th Century,Paintings
"Banknote motif: ornamental number 1 against a panel of lathe work elements, adjoining a band of mosaic style ornament, its ends adorned with leaves, flowers, grapes and ribbons",Null,Date Unknown,Prints
"Banknote motif: number 500 at the center of a circular design of lathe work with wavy edges, surrounded by an open wreath of leaves, berries and flowers",Null,Date Unknown,Prints
"Banknote motif: ten different ornamental lathe work elements including a disk embellished with berries and flowers, a wreathed sword, a set of scales, a berried vine, an anchor and chain, a bracket of vine leaves and four designs for borders",Null,Date Unknown,Prints
"The electoral machine gun. What a strewing of flowers., from 'News of the day,' published in Le Charivari, May 11, 1869",Null,Date Unknown,Prints
"Little girl holding a garland of flowers, from Deuxième Livre de Figures d'après les porcelaines de la Manufacture Royale de France (Second Book of Figures after porcelains from the Manufacture Royale de France)",Null,Date Unknown,Prints
[Flowering Trees],Null,Date Unknown,Photographs
"[Flower Cart Display, Martha's Vineyard, Massachusetts]",Null,Date Unknown,Photographs
"I thought it would be more fun than this to water flowers during a heatwave!, from Romance of Country Life, published in Le Charivari",Null,Date Unknown,Prints
Sleeveless Jacket with Flowering Vine Pattern and Bands,Null,Date Unknown,Clothing
Noh Robe (Happi) with Pattern of Flowers and Auspicious Symbols,Null,Date Unknown,Clothing
Zhou Dunyi admiring lotus flowers,China,17th - 20th Century,Paintings
"The Coming Thunderstorm, from the illustrated book Flowers of the Four Seasons",Japan,17th - 19th Century,Prints
"Invoice from Constantin Magasin de Fleurs fines, Paris, for plants and flowers",Null,Date Unknown,Prints
Vase with flowering branch motif (one of a pair),Null,Date Unknown,Ceramics
Vase with flowering branch motif (one of a pair),Null,Date Unknown,Ceramics
"Plate 8: Proserpina, standing in a niche, turning to the right while holding mantle in both hands and flowers in her right hand, from ""Mythological Gods and Goddesses""",Null,Date Unknown,Prints
Chinese Bulbuls on Flowering Cherry-Apple,China,10th - 13th Century,Paintings
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
Flower-Shaped Clothing Plaque,Tibet,7th - 9th Century,Metalwork
"Woman Holding Flowers, in The New York Drawing Book, Containing a Series of Original Designs and Sketches of American Scenery, No. 2",Null,Date Unknown,Books
Table with Flowering Sprays,China,14th - 17th Century,Furniture
Tile with a King Holding Flowers,England,Date Unknown,Ceramics
Duster with the flowers of four seasons,China,14th - 17th Century,Lacquer
Tea-bowl stand with phoenixes amid flowers,China,15th Century,Lacquer
Grotesques Designs with Various Inscriptions (recto); Candelabra Grotesque and Two Putti Holding Flowers (verso),Null,Date Unknown,Drawings
"Candlestick with Repeating Seated Figure, Inscription, and Flowers",Iran,Date Unknown,Metal
Design for Wallpaper or Panel (?) with an Orientalist Motif with Three Phoenix-Like Exotic Birds with Colorful Feathers and a Flowering Tree within an Ornamental Frame with Tassels Resembling a Tapestry,Null,Date Unknown,Drawings
Cosmetic Box (Tebako) with Chrysanthemum Flowers,Japan,14th - 16th Century,Lacquer
Design for a Valance in the Style of Louis XVI with Bundles and Garlands of Flowers and an Ornamental Frame with a Tiger Face,Null,Date Unknown,Drawings
"Tile with Saz Leave, Tulips, and Hyacinth Flowers",Turkey,Date Unknown,Ceramics
Textile Design with Flower-Vine Border,Null,Date Unknown,Drawings
Fujiwara no Teika’s “Poems on Flowers and Birds of the Twelve Months”,Japan,17th - 19th Century,Paintings
Design for a Valance with Bundles and Garlands of Flowers and Leaves Decorated with Gardening Tools upon which Small Birds Rest,Null,Date Unknown,Drawings
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 6",Null,Date Unknown,Books
Flowering Calamus and Frogs,Null,Date Unknown,Paintings
Series of Small Flowers Motifs,Null,Date Unknown,Prints
Design for a Chair Seat Cover with an Ornamental Frame with Two Restling Putti with Hanging Garlands of Leaves and Flowers Inside a Larger Ornamental Frame Featuring a Heart-Shape Motif,Null,Date Unknown,Drawings
Design for a Chair Back Cover with an Ornamental Frame Formed by a Garland of Leaves and Flowers with an Interlacing Ribbon that Forms a Bow from which a Crown Motif with Monogram Hangs,Null,Date Unknown,Drawings
Design for a Valance with Thin Garlands and Bundles of Flowers and a Lyre Inside an Ornamental Frame with Scrolling Motifs Presenting Two Different Variations for the Design,Null,Date Unknown,Drawings
Haguro Mirror (Haguro kyō) with Birds and Flowers by a Stream,Japan,8th - 12th Century,Mirrors
"Lefty Flynn, Lee Shumway and Bess Flowers in ""Glenister of the Mounted"" from Western Stars or Scenes Exhibit Cards series (W412)",Null,Date Unknown,Prints
Flowers,Null,Date Unknown,Prints
"John Yellow Flower, Ute, from the American Indian Chiefs series (N36) for Allen & Ginter Cigarettes",Null,Date Unknown,Prints
"""Flowers"" L. Kemp Company",Null,Date Unknown,Photographs
"Flowers, Greenville, from the Contentnea series (T209, Set 2) for the American Tobacco Company to promote Contentnea Cigarettes",Null,Date Unknown,Prints
Flowers,Null,Date Unknown,Prints
Wild Flowers Cuba 1959,Null,Date Unknown,Drawings
Flowers,Null,Date Unknown,Prints
Fruit and Flowers,Null,Date Unknown,Prints
"With the Beasts (1r); The Flower Hawker (1r); Zoological Gardens–The Parrot Walk (1r); Westminster Abbey–The Choir (1v); The Ladies' Mile (2r); Zoological Gardens–Sunday Promenade (2v); Hyde Park Corner–The Row (2v), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Null,Date Unknown,Prints
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (6)",Null,Date Unknown,Prints
"Design for a Rug with Ornamental Frames and Garlands and Festoons of Leaves, Flowers, and Ribbons Over a Background of Arabesques",Null,Date Unknown,Drawings
Robe (kosode) with landscape and seasonal flowers,Japan,19th - 20th Century,Clothing
Wine Bottle with Flowers and Grasses,Japan,17th - 19th Century,Ceramics
Carved Lacquer Box “Green Flower”,Japan,20th - 21st Century,Lacquer
"Jimbaori with shokko diaper pattern of dragons, phoenix birds, and stylized ""Chinese flowers""",Japan,17th - 19th Century,Clothing
Dish with flowers and auspicious motifs,Japan,17th - 19th Century,Ceramics
Design for a Valance with Bundles and Garlands of Flowers and Musical Instruments,Null,Date Unknown,Drawings
Design for a Chair Back Cover with an Ornamental Frame Formed by a Garland of Leaves and Flowers with an Interlacing Ribbon that Forms a Bow from which a Crown Motif with a Monogram Hangs,Null,Date Unknown,Drawings
Double Bellflower Fruit or Offering Tray (Yaekikyō morikago),Japan,20th - 21st Century,Basketry
A Flowery Mirror of Beautiful Women (Bijin ryōka shū) 美人菱花集,Japan,17th - 19th Century,Illustrated Books
From Flowers album cards (W213),Null,Date Unknown,Prints
From Flowers album cards (W213),Null,Date Unknown,Prints
Asplenium viride from Flowers album cards (W213),Null,Date Unknown,Prints
From Flowers album cards (W213),Null,Date Unknown,Prints
From Flowers album cards (W213),Null,Date Unknown,Prints
(Waterlilies) from Flowers album cards (W213),Null,Date Unknown,Prints
From Flowers album cards (W213),Null,Date Unknown,Prints
"""Imperial Visit to the Great Horse Race at the Kaya-no-in Mansion""  from the Tale of Flowering Fortunes",Japan,12th - 14th Century,Paintings
Album of American Wildflower Watercolors,Null,Date Unknown,Albums
Botanical dish with white sunflower,Null,Date Unknown,Ceramics
[Flower Pots in Window],Null,Date Unknown,Photographs
Studies of Flowers,Null,Date Unknown,Books
"Design with sun, flowers, trees, rams, and flying eagles",Null,Date Unknown,Prints
The Hat Pinned with Flowers,Null,Date Unknown,Prints
The Hat Pinned with Flowers,Null,Date Unknown,Prints
"Still Life, Flowers, and Blue Cover",Null,Date Unknown,Prints
A Heroine Plucking a Flower:  Page from a Dispersed Nayikabheda,Null,Date Unknown,Paintings
"[Five 35mm Film Frames: Subway Passengers, New York City:  Man in Hat and Scarf, Elderly Woman, Woman in Flower-Brim Hat with Dog]",Null,Date Unknown,Negatives
"[Two 35mm Film Frames: Subway Passengers, New York City: Woman, Man Reading, Older Woman in Flowered Hat]",Null,Date Unknown,Negatives
Chair Strip with Flowers and Decorative Rocks,China,17th - 20th Century,Textiles
Flowers on Fence,Null,Date Unknown,Photographs
Flowers and Birds,China,17th - 20th Century,Paintings
Flowers and Fishes,Null,Date Unknown,Paintings
Bananas and Flowers,Null,Date Unknown,Paintings
"A picture album:  flowers, herbs and fish",Null,Date Unknown,Books
Flowers,Null,Date Unknown,Prints
Basket with Flowers,Null,Date Unknown,Prints
[Nude Boy in Doorframe with Flowers],Null,Date Unknown,Photographs
Flowers,Null,Date Unknown,Prints
Flowers and Bird,Null,Date Unknown,Paintings
"Sketches of Birds, Flowers, and Plants",Null,Date Unknown,Paintings
Three Sketches of Flowers and Butterflies,Null,Date Unknown,Paintings
Flowers and Birds,Null,Date Unknown,Paintings
Flowers and Butterfly,Null,Date Unknown,Paintings
Flowers and Butterflies with Inscription,Null,Date Unknown,Paintings
Flowers and Wasps,Null,Date Unknown,Paintings
Flowers with Notes,Null,Date Unknown,Paintings
Flowering Peonies,Null,Date Unknown,Paintings
Flowering Branch,Null,Date Unknown,Paintings
Flowering Peonies,Null,Date Unknown,Paintings
"Rocks, Grass, and Flowers",Null,Date Unknown,Paintings
Flowering Plant,Null,Date Unknown,Paintings
Flowering Plants,Null,Date Unknown,Paintings
Flowers and Rock,Null,Date Unknown,Paintings
Three Sketches of Flowering Plants,Null,Date Unknown,Paintings
Sketches of Flowering Plants,Null,Date Unknown,Paintings
Three Sketches of Leaves and Flowers,Null,Date Unknown,Paintings
[Pair of Flowering Plants],Null,Date Unknown,Photographs
Planting Flowers,Null,Date Unknown,Prints
"[Studio Portrait: Male Street Vendor Holding Box of Flowers, Brazil]",Null,Date Unknown,Photographs
[Flowering Tree in Back Yard],Null,Date Unknown,Photographs
Basket with Flowers,Null,Date Unknown,Prints
[Young Woman in Flowered Dress],Null,Date Unknown,Photographs
Florecitas (Vase of Flowers),Null,Date Unknown,Prints
Birds and Flowers,China,17th - 20th Century,Paintings
White Herons and Flowering Shrubs,China,14th - 19th Century,Paintings
Plate 6: Ornamental Design with Flowers,Null,Date Unknown,Prints
"[Four 35mm Film Frames: Subway Passengers, New York City:  Woman with Flower-Brim Hat and Dog, Two Men in Conversation, Man in Cap]",Null,Date Unknown,Negatives
The Little Flowers of St. Francis,Null,Date Unknown,Books
Examples of Sketches of Flowers,Japan,17th - 19th Century,Illustrated Books
Noh Robe (Atsuita) with Cloud-Shaped Gongs and “Chinese Flowers”,Japan,17th - 19th Century,Textiles
"Textile with Animals, Birds, and Flowers",Null,Date Unknown,Textiles
Foliated dish with four birds and flowers,China,14th - 17th Century,Lacquer
"Buddhist Vestment (Kesa) with Clematis Flowers, Leaves, and Vines",Japan,17th - 19th Century,Textiles
Coronet of Flowers,Null,Date Unknown,Prints
Wall plaque with flowering mimosa,Null,Date Unknown,Pottery
Bouquet of flowers (card design),Null,Date Unknown,Drawings
Small group of flowers (card design),Null,Date Unknown,Drawings
Urn with flowers (card design),Null,Date Unknown,Drawings
Flowers (card design),Null,Date Unknown,Drawings
Flowers (card design),Null,Date Unknown,Drawings
Buddha's Flowers,Null,Date Unknown,Prints
"Plate 3 depicting the trades of Rome, here including vendors of flowers, chairs, basil etc, from the 'Descrición de las artes que se llaman para los calles de la ciudad de Roma'",Null,Date Unknown,Prints
"Miss Lizzie Weston as Oberon: ""And Maidens call it, love in idleness. Fetch me that flower"" (Midsummer Night's Dream, Act 2, Scene 2)",Null,Date Unknown,Prints
Dragonflies and Wild Flowers,Null,Date Unknown,Prints
Cobweb Valentine with urn of flowers,Null,Date Unknown,Ephemera
Flowering Branches,China,18th Century,Paintings
Plate from a series of fantastical flowers,Null,Date Unknown,Prints
Plate from a series of fantastical flowers,Null,Date Unknown,Prints
Plate from a series of fantastical flowers,Null,Date Unknown,Prints
Noh Robe (Karaori) with Autumn Flowers and Grasses,Japan,17th - 19th Century,Clothing
"Greeting card, Language of Flowers: A hand-painted, lithographed bouquet of flowers, with a message.",Null,Date Unknown,Ephemera
Lady with flowers,Null,Date Unknown,Prints
Design for Textile with a Bundle of Stylized Flowers and Leaves and Interlacing Ribbons,Null,Date Unknown,Drawings
"Card No. 7, John Yellow Flower, from the Indian Chiefs series (T129) issued by Red Man Chewing Tobacco",Null,Date Unknown,Prints
