Title,Country,Period,Classification,_ - description
"""Security Safe Deposit"" still bank",Null,19th Century,"Dolls, Toys and Games",brown box safe; floral and gold designs on sides and back; flower in gold on top; coin slot on top; combination dial on door uses letters and numbers
Memorial Portrait of the Actor Iwai Hanshirō VI with Segawa Kikunojō V,Japan,19th Century,Prints,seated figure wearing expansive pink garment with large white flowers; long black and gold sword at right edge extending upward from behind garment; portrait of figure with flowing hair wearing a yellow headdress tied with a blue cord in a rectangular cartouche in URC
Memorial Portraits of Bandō Mitsugorō III and Segawa Kikunojō V,Japan,19th Century,Prints,"kneeling young woman in foreground, looking back over her PR shoulder; woman wears pink kimono with white flowers and purple obit with white foliage design; young woman holds the hand of a figure standing behind her, holding an umbrella in his PR hand and wearing a pink kimono with similar floral pattern"
"""Floral Safe (National Safe)"" still bank",Null,19th Century,"Dolls, Toys and Games",rectangular metal block; bronze color with a different flower on each side and top; coin slot between top and sides on side opposite door
"""Pig in High Chair"" mechanical bank",Null,19th - 20th Century,"Dolls, Toys and Games","pig seated in high chair holding oval tray; mouth is coin slot; depress lever in back to raise tray and tongue; flower motifs on front and sides of chair, ""grass"" on back"
"""Grandfather Clock"" still bank",Null,20th Century,"Dolls, Toys and Games","gold colored grandfather clock (metal) with white face; coin slot in top rear, flower and fan shape design on front"
"""Egg"" still bank",United States,20th Century,"Dolls, Toys and Games",egg shape lavishly decorated with vines and flowers; female figures on either side of top coin slot; face on front
Frame,Italy,17th Century,"Tools, Equipment, and Utilitarian Objects","Frame, Italian, XVII c., carved gilt wood frame with original gilding and with inner molding of continuous flower buds, the back overlapping leaves bound at centers with a leaf-and-tongue molding; on dal Sole, ""Judith with the Head of Holofernes""; 77.24 ."
Chest of drawers still bank,Null,19th - 20th Century,"Dolls, Toys and Games",wood chest with 3 drawers; each drawer has two white glass pulls; high decorative top at rear has decoupage flowers and leaves; shiny finish
Duchesse d'enfant brisée (child’s chair),France,18th Century,Furniture,"with arched, padded back within molded frame crisply carved with twin rose blossoms, summer flowers and guilloche, with padded acanthus-carved scroll arms above incurved supports carved as entwined reeded cornucopiae with crisp floral bouquets; the loose cushion seat within molded ancanthus - carved seat rail, on short cabriole legs haeded by paterae and acanthus, ending in scroll toes; upholstered in floral striped silk."
Book still bank,England,19th Century,"Dolls, Toys and Games",wood book shaped bank incised with flowers on front and back covers; coin slot in spine
Bird still bank,United States,19th - 20th Century,"Dolls, Toys and Games","tan bird with dark brown and golden brown designs; coin slot in breast; traditional designs of flowers, feathers etc."
"""Fish-Pig"" still bank",Netherlands,20th Century,"Dolls, Toys and Games",stylized Delft pig with long body and curly tail; flower designs on each side; stripes on each leg; coin slot on back
"""Space Heater, Flowers"" still bank",England,19th Century,"Dolls, Toys and Games",metal six-sided pagoda shape with lattice on 4 sides and open work vase and flowers on 2 sides; floral motifs around the base and top; coin slots on 2 sides of top
"""Daily Dime Piggy Bank (registering)"" still bank",United States,20th Century,"Dolls, Toys and Games",square metal daily dime piggy bank; blue bank with press down cover over coin reservoir; flowers on sides; picture of pig with blue bow around neck on top; windows showing day of week and amount of coins
Double Gourd Bottle,China,16th Century,Ceramics,"blue underglaze, yellow overglaze; set on a recessed base with rounded lower section that narrows at middle, bulbous upper section tapering to straight mouth; lotus scroll decoration on both sections with upper enclosed within line borders, lower within a petal lappet border above and cloud scroll border below; waist painted with six-petalled flowers"
Armchair,France,18th Century,Furniture,"top and sides of backrest, front arm supports, apron and legs carved with architectural ornaments, flowers, scrolls and leaves, with gilding; gold satin patterned upholstery"
Armchair,Null,18th Century,Furniture,"top and sides of backrest, front arm supports, apron and legs carved with architectural ornaments, flowers, scrolls and leaves, with gilding; gold satin patterned upholstery"
Baby Booties with Attached Leggings,China,Date Unknown,Clothing,"soft-soled baby boots decorated with embroidery flowers; boots attached to leggings with open crotch and seat made of blue, red, white and black printed fabric"
"Frame, French Empire",France,18th - 19th Century,"Tools, Equipment, and Utilitarian Objects","Frame, French Empire, scotia with carved astragal and waterleaf sight edge, top rail of imbricated discs and flowers in composition; on Baron Gerard, ""Louis Philippe and his Sons"", 63.56."
Woman's Bib,Vietnam,20th Century,Textiles,"blue and white batik pattern with flowers, swirls and geometric designs; embellished with gold cross-stitch embroidery; zipper on PL side allowing access to space between front and back panels; six ties"
Head Cover,Vietnam,20th Century,Textiles,"square of off-white cloth with red trim on two edges; nine small embroidered sections with star and flower motifs, in red, grey and green"
Kantha Cloth,Bangladesh,20th Century,Textiles,"white ground with red, yellow, pink and brown stitching; red trim; freeform design of flowers, animals, birds and fish; illegible brown embroidered inscription at trim on one long side"
Anemonies,England,19th Century,Prints,"Scarab, Grecian Key, and Fly Pattern Mount, 1897-99, with Stag and Flower Pattern Frame, 1897-99"
Belt,United States,21st Century,Beadwork,"beaded overall; white ground; orange, blue and red flower design; central ""medallion""; backed with green floral printed fabric"
Handkerchief,Null,19th Century,Textiles,lace bordered linen with crested monogram N.Z.; design of flowers and leaves
Handkerchief,Null,19th Century,Textiles,lace bordered linen with crested monogram N.Z.; design of flowers and leaves
Handkerchief,Null,19th Century,Textiles,lace bordered linen with crested monogram N.Z.; design of flowers and leaves
Handkerchief,Null,19th Century,Textiles,lace bordered linen with crested monogram N.Z.; design of flowers and leaves
Handkerchief,Null,19th Century,Textiles,lace bordered linen with crested monogram N.Z.; design of flowers and leaves
Quail in Flight,Japan,20th Century,Prints,"A Japanese quail takes to flight. Sprigs of a crysanthemum-like flower appear to the right. The quail is a gallinaceous bird, identifiable by its rounded body, short bill and small tail. In Japan, it is kept as a domestic bird, and its eggs are highly prized. (Newland 2010)"
White Lily,Japan,20th Century,Prints,"A lily, recognisable by its snowy white pendulous flowers. A number of species of lily grow in Japan where they are cultivated as ornamentals and for their edible bulbs. (Newland 2010)"
Jar,China,12th - 14th Century,Ceramics,"ovoid body with small mouth, shoulder carved with four flower petals"
Quilt,China,Date Unknown,Textiles,"black wide borders of coarse eave surrounding beige center made up of large 3"" wide by 5"" long lines of squares; each square has four geometric appliqued squares of blue, black and brown, outlined ecru; corner squares have appliqued and embroidered black fish; large center square has appliqued and embroidered dragon and a flower; four small squares have appliqued and embroidered turtles in similar colors; heavily starched"
Jacket,China,Date Unknown,Clothing,"black open front indigo; no design on front; center back has embroidered strip of abstract symbols; bottom edge and triangle corners have embroidered birds; framing shoulders, center strip and bottom edge are strips of embroidered flowers on paper backing cut out around flower edges and tacked on; sleeves have 6"" x 12"" green silk embroidery repeating same motifs; multicolor sleeves banded with white"
Jacket,China,Date Unknown,Clothing,"open front; batik sleeves, front and top back; opening has embroidered tape and applique; woven red and blue 6"" squares on chest; upper batik has red and yellow in the batik; long tail has larger satin stitch flowers on top with smaller strips of same interspersed with geometric tape in coral, teal, magenta and white on black; dark blue lining"
Jacket,China,Date Unknown,Clothing,"coarse weave black jacket with blue lining; deep side vents; front shorter than back; front edges with woven striped tape and embroidery; two short ties; neck band, yoke and sleeve tops heavily decorated on black satin; stylized animals and flowers in multicolored braid embroidery, gold tape and sequins; on yokes, horizontally twined raised metal tape edging; back lower edge has aqua horizontal band with four petaled embroidered flowers in pinks and greens"
Jacket,China,Date Unknown,Clothing,"coarse weave black jacket; blue lining; deep side vents; front edges with woven striped tape and embroiderey; two short tape ties; neck band, yoke and top of sleeves; heavily decorated on red satin; stylized birds and flowers in multicolored braid embroidery, gold tape and metallic sequins; dividers have stylized fine silk cord patterns"
Jacket,China,Date Unknown,Clothing,"coarse woven black jacket with blue lining with side vents; front edges with woven black and brown tape with embroidery; two short ties; neck back, yoke and top of sleeves heavily embroidered on red satin with stylized braid embroidery of animals and flowers, gold colored tape and sequin trim; twined raised metal tape on back of neck and sleeves"
Skirt,China,Date Unknown,Clothing,"21 separate three-part velvet panels on black waistband; top part of panels have flowers embroidered on black velvet; center ovals have fauna embroidered on varied colored silk; bottom portion has flora and fauna embroidered in bright colors on red satin; green and yellow tassels alternate on top two panels, which are separated by silver glass beads; all highlighted with gold thread; lined in red plaid; woven ties on waistband"
Quilt,China,Date Unknown,Textiles,"pastel pink and blue; three panels hand sewn together; fully embroidered with diamond and flower pattern; appears to have been lined; horizontal 4-1/2"" geometric pattern, 11-1/2"" from bottom"
Baby Carrier,China,Date Unknown,Textiles,"T-shaped red and gold damask borders on three sides; top section has embroidered inset with seven squares of chain stitch flowers, sequins and metal medallions on orange with blue borders; larger section includes some embroidery with 14 medallions on squares and rectangles; back lined in blue and black"
"Jacket, from a three-piece set",China,Date Unknown,Clothing,"jacket has open front; two kinds of braid with embroidered pink, red and green patches; red printed fabric strips on front bottom edge; woven red and tan band on sleeve back and around upper arm; sequins on upper arm; bottom back has applique with embroidered flowers in red, green and pink"
Set of Two Embroidered Panels,China,Date Unknown,Textiles,"satin panels tacked just below center in purple; vibrant embroidery with birds, animals and flowers in multi-colors; embroidery in lower 2/3 of panels; scalloped narrow blue tape on outside edges; horizontal border of embroidered Chinese characters; paper lining with finished embroidery"
Set of Two Embroidered Panels,China,Date Unknown,Textiles,"2 separate purple panels, elaborately embroidered with birds and flowers in multi bright colors; outside borders embroidered; bottom, horizontal strip of embroidered animals; finished embroidery on paper background"
Set of Two Embroidered Panels,China,Date Unknown,Textiles,"two panels of bright blue satin heavily embroidered with flowers, bird and a tiger on (a) and a rat on (b); bright multi colors; red tape on outer edges with gold metal; horizontal lower borders with frogs, fish and insects"
Set of Two Embroidered Panels,China,Date Unknown,Textiles,"two blue satin panels attached in 2 places; heavy multi colored embroidery of flowers, birds and insects; outer edge: red and gold metal; lower horizontal border with Chinese characters"
Baby Carrier,China,Date Unknown,Textiles,"brown cotton with very long and wide ""straps""; PR strap ends with pocket; center part in two sections completely embroidered; larger top rectangle features large overlapping flower shape, outlined in white raised tape, with smaller pink flowers satin stitched throughout on blue, red, green and brown silk; smaller lower rectangle has flowers embroidered on brown silk; small white square attached to bottom with brown piping which borders entire piece"
Under Apron,China,Date Unknown,Accessories,"black damask, bell shaped; 7-1/2"" embroidered and appliqued small bell at top with dragons, flowers and phoenix; narrow ribbons outlining top and sides and 5 scalloped appliques across bottom; lined in blue; button loop at top; loops on each side; black, blue, green, pink and purple"
Kleinwelt,Switzerland,20th Century,Prints,"abstract image with stick figures, body parts, heads, flower shapes, and abstract designs; printed in black;"
Pair of Leggings,China,Date Unknown,Accessories,"indigo blue with red embroidery in 1/2"" alternating, checkerboard design; line of simple flowers along one long edge; hand hemmed along same long edge"
Batik Quilt,China,Date Unknown,Textiles,"quilt consists of three panels with blue and white designs of animals, birds and flowers; left panel is in 2 sections; appears to have had a backing at one time"
Apron,China,Date Unknown,Accessories,"black and blue brocade silk with red border on coarse weave backing; flat embroidery of birds, butterflies and flowers in green, dark pink and yellow; edges highlighted in narrow gold braid"
"Jacket, from a two-piece set",China,Date Unknown,Clothing,"slipover batik with small 7""x3 1/4"" rectangular opening; bottom 20 1/2"" has bands of maroon and blue with larger black band at bottom decorated with embroidery and silver metal flowers; sleeves are half black; eight small tabs at hemline; open sides from under arm; batik has unusual patterns"
"Sashes, from a two-piece set",China,Date Unknown,Accessories,center red strip with cross stitch alternating with raised metal flowers; bottom border has small metal ornaments on black applique; cotton ties
"Apron, from a three-piece set",China,Date Unknown,Accessories,"band has 4 cross stitched geometric designs bordered by pink on 3 sides and plaid gingham; black velveteen pleated skirt is banded on sides with red, white and green embroidery on yellow; bottom has embroidery bordered in green and red damask; tan ties have cross stitch desgin with crude yellow and red ""flowers"""
Ketubah (marriage contract),United States,20th Century,Judaica,"Hebrew text at center surrounded by four figures with joined hands at bottom; tree, flowers, birds and smiling sun at R; water with fish, stars and smiling moon at L"
Earrings,United States,Date Unknown,Adornment,pair of dangle earrings; 4 wire flowers with single center turquoise
Sunflowers,Netherlands,20th Century,Prints,"tops of several sunflower stems, heavy with large leaves and blossoms"
Woman's blouse (Huipil),Mexico,20th Century,Textiles,"one white panel cotton fabric huipil; red hand embroidered on top with flower decoration; armholes are also decorated in red, purple and pink stripes; neckline has a fine hand-sewn seam"
Woman's Cofradía Tzute,Guatemala,20th Century,Textiles,"two panels; white and red cotton plaid; rows of decorative elements (supplementary weft patterning)--birds and flowers in white, purple and pink silk"
Baby Carrier,China,Date Unknown,Textiles,"red silk square with raised multicolor design of large flower, stems, small flowere and birds; silk borders (green, white and blue) with embroidered floral designs all on black ground with black extensions; yellow metal outlining; lined in black cotton; edged in borwn that crosses 4 1/2 x 5 1/4"" square at bottom; 4-6"" ties at bottom; metal disks; some pencilled-in designs unfinished"
Jacket,China,Date Unknown,Clothing,"large jacket with short sleeves; black pounded indigo with purple, white and pink trim; embroidery of human forms, birds and flowers in bands down front, across shoulders and on sleeves; black velvet surrounds neck opening with stand up collar; some applique and metal disks front and back; lined with black pounded indigo; cuffs; front longer than back"
Apron,China,Date Unknown,Accessories,bib and waist band totally embroidered in abstract floral design; bib in light green with pink; waist band in orange and red; skirt part shirred green with black; skirt bound on sides with flower embroidered on purple tape; patched-up neck loop; woven tied with tassels; apron bib lined in batik; blue and printed fabric
Apron,China,Date Unknown,Accessories,"bib apron with pink, green floral embroidered top on pink ground, and a band of multicolored embroidery of birds and flowers on teal ground; skirt portion is black with 4"" of orange on top, pleated or gathered; edged in 2-1/4"" wide green band with red, purple, white satin stitch floral design; fringed ties of white cotton with some embroidery near ends; woven braid at neck; bodice lined in batik and green print"
Baby Carrier,China,Date Unknown,Textiles,"top half and ties, blue and white batik, birds, flowers, butterflies; bottom half in plain indigo blue; all lined with blue cotton; middle layer--top half only"
Child's Hat,China,Date Unknown,Accessories,"blue, purple, green, pink; covers neck and ears with flaps; three dimensional; wired, stiff flower petals on purple, tan, orange and blue; gold fringe in center; top has fringed butterfly with metal springs; blue background edged in pink braid; mauve plaid lining; PR knotted ball button; silver paper edges"
Baby Carrier,China,Date Unknown,Textiles,"triangular shaped with 14"" center square on silk; embroidered and appliqued in red, green and black with many birds, insects, animals, flowers and one small boatman; cotton background constructed of small triangles in red, blue, green, purple and white sewn in squares; purple lining"
Batik Quilt,China,Date Unknown,Textiles,two panels sewn together; center square and body of quilt decorated with flowers and birds; border is abstract design
Wall Hanging,China,Date Unknown,Textiles,"top 2-1/4"" blue border; center fuschia panel with black embroidery in cross stitch floral pattern, surrounded by 4-1/2"" white (?) border with embroidered flowers, birds, insects in many colors"
Pair of Baby's Pants,China,Date Unknown,Clothing,"indigo pants with boots attached; black; heavily embroidered blue boots in stylistic floral and leaf patterns; some outlining in stitched metal; floral patterns in black, pink, green; lower boot is scroll applique (black) with pink flower toes; plain white soles; ties at waist"
Baby Carrier,China,Date Unknown,Textiles,"applique and embroidered scrolls and flowers; red, green, blue, white on black; red silk embroidered band on top; blue on two sides; black border on top and sides; top has small dirty white square with blue twill tape; black lining"
Quilt,China,Date Unknown,Textiles,"40 tan 7"" squares divided into four small squares with appliqued butterfly, flower and corner scallops in blue, black and brown; black border with raw edges and loose threads"
Quilt,China,Date Unknown,Textiles,"blue, black and beige; 3 1/2 - 6 1/2"" blue border surrounds 7"" squares of applique which form designs of birds and flowers"
Batik Spread,China,Date Unknown,Textiles,"three horizontal batik panels, blue and white; precise pictorial images of fish, birds, butterflies and flowers; black and blue macrame fringe on bottom edge"
"Skirt, from a three-piece set",China,Date Unknown,Clothing,"black, orange, blue, red; pounded indigo; lower half has three embroidered panels; diamonds and stylized flowers, esparated by red/white edging; upper helf all back with thin, cord ties; hand sewn; four thin lines of embroiderery at upper half"
(Wedding?) Collar,China,Date Unknown,Accessories,"black, pink, green; edged with flat metallic strips; embroidered cutouts of flowers and petals joined together with thread; white teal and green beads; cutouts hang from scalloped, embroidered black yoke; finished with glued braid at neck edge; knot button and loop at back; collar forms circle when fastened"
Bag with Tree and Flower Motif,United States,19th Century,Textiles,neutral-colored ground; one side woven with six green pine trees and ten pink flowers; other side woven with eight pink flowers; two leather handles
Blanket,China,Date Unknown,Textiles,"light brown background; two vertical panels; top half has four horizontal rows and bottom has six horizontal rows of embroidered stylized bird and flowers in pink, light green, purple and red; separated by horizontal strip of geometric design in peach, light green and black; plain brown border"
Baby Carrier,China,Date Unknown,Textiles,"black with dull embroidered panels and medallions, straps; top center medallion has three dimensional effect; patterns outlined with narrow, couched metal strips; red straps with green flowers; lower panel has center floral design with scrolls and appears to have been cut from another piece and glued to this one; lower panel edge has purple and blue 2"" border; lined in blue denim-type fabric"
Baby Carrier,China,Date Unknown,Textiles,"red and blue dominate vertical panel; embroidery and applique, red on red with white outlining; birds, flowers, dragons; two squares: two black roosters surrounded by scroll work in top; bottom square has dragons, birds, medallions with silkworms (?); multicolored silk or rayon ribbons separate main body from blue and green edging of metallic brocade, floral fabric; some yellow metal outlining; indigo woven patterned lining"
Child's Collar,China,Date Unknown,Accessories,"five petaled collar outlined in black; embroidered with animals and flowers on black, green, red, pink and purple silk pieces"
Belt,China,Date Unknown,Accessories,"white cotton; embroidered ends 16"" long with 4 1/2"" gold fringe; embroidered sectoins have 2 black strips separating birds and flowers embroidered on applique; red, blue, green, pink"
Embroidery Sample,China,Date Unknown,Textiles,"black border on sides and bottom; black embroidery on off-white fabric; pattern has guard dogs on either end and three large patterned circles, with flowers and birds intersperced; PL upper corner edge has five Chinese (?) characters"
Embroidery Sample,China,Date Unknown,Textiles,"black and white narrow horizontal panel; cross stitch designs of people, boats, birds, fish, crabs, flowers; 3"" black border, sides and bottom; top unfinished"
Baby Carrier,China,Date Unknown,Textiles,"black; three sections; top section has straps; straps, top and middle sections have appliques of birds and flowers in blue, green, pink, grey, red; bottom section is solid black; blue lining"
(Wedding?) Collar,China,Date Unknown,Clothing,"complete surround with longer tail in front; green and white raised couched threads, cords, on red background; yellow metal couched in black threads surround designs; scalloped edges, each with tassels of many colors and white and yellow metal charms and bells (fish, flower petals) simulated pearls also dangle from collar"
Purse,China,Date Unknown,Accessories,"blue and red; blue border with white square design and butterflies surround red rectangle embroidered with bird, flowers, leaves and interior braid; one outside pocket; interior solid red with one inside pocket; machine and hand stitched; single fold; shiny red interior"
Embroidery Pattern,China,Date Unknown,"Tools, Equipment, and Utilitarian Objects",white paper pattern sewn to three layers: black and blue fabrics and then paper; one flower in center is embroidered in pinks; fish design
Small (Model?) Loom with Weaving Fragment,China,Date Unknown,"Tools, Equipment, and Utilitarian Objects","small loom carved with moths, dragons, owls, cats and flowers; four small ""pedals"" (only two are attached to loom); small blue and white weaving fragment threaded through loom"
"Coverlet, one of a pair",United States,19th Century,Textiles,"white, blue, green, red and pink; organic and floral medallions around three edges; interior has six large floral-like medallions surrounded by twining flowers; jacquard woven"
"Coverlet, one of a pair",United States,19th Century,Textiles,"white, blue, green, red and pink; organic and floral medallions around three edges; interior has six large floral-like medallions surrounded by twining flowers; jacquard woven"
LeMoyne Stars quilt,United States,19th Century,Textiles,red and blue with white backing and background; thirty blue and white stars with red border; scalloped circular quilted designs alternate with stars; scrolling leaf and flower quilted borders
Cherry Tree or Tree of Life Quilt,United States,19th Century,Textiles,"appliqué; grey tree with eight large branches, numerous small branches and cherries on embroidered stems; six red flowers in lower corners; white ground and background"
Carolina Lily quilt,United States,19th Century,Textiles,pieced blocks with design of three brown flowers in a green two-handled container; green scallop and leaf border; cream and white background
Floral Applique Sampler Quilt,United States,19th Century,Textiles,"orange, red, and red and white print flowers of varying styles; central red and orange floral medallion; white ground and backing"
Whig Rose Variations Quilt,United States,19th Century,Textiles,"yellow ground and backing; appliquéd overall with two different floral medallions with red, pink, tan, yellow and orange flowers; floral border with star in each corner"
Untitled [woman and child at well],United States,20th Century,Photographs,woman with white hair wearing spectacles and a flowered dress standing inside a board fence surrounding a well; little girl wearing a dress with bloomers and high shoes peers over top of fence at L
"Granattrichter mit Blumen (Frühling 1916) (Grenade Trench with Flowers [Spring 1916]), plate 24 from Der Krieg (The War)",Germany,20th Century,Prints,deep trench with blooming flowers around its edge; other trenches in background
Flowers,Israel,20th Century,Drawings,abstracted orange and salmon-colored flowers with brown and green stems and leaves; white and blue wash ground
"Keyblock for ""Autumn Flowers in the Garden at Mukōjima""",Japan,19th Century,"Tools, Equipment, and Utilitarian Objects","carved on both sides; one side carved with figures walking on a garden path; other side carved with standing man in a kimono with tree and bridge pattern fabric, holding an umbrella; dark brown patina"
Flowering Kale,Japan,20th Century,Prints,"abstracted close-up flower image in purples, green, yellow and light orange"
"Flowers, New York",United States,20th Century,Photographs,bouquet of flowers on a cut glass plate; letter at right with birds and nest on top of sheet
Flowers for Elizabeth,United States,20th Century,Photographs,bouquets of flowers on floor and on box at left; chair at right with a shirt hanging on its back and a book and eyeglasses on its seat
"Sunflowers, Millerton, New York",United States,20th Century,Photographs,"pitcher of sunflowers; white bottom 2/3, dark top"
"Sun Flowers, North Dakota",United States,20th Century,Photographs,a field of sunflowers around an old farmhouse
Untitled [flowering small tree along river bank],United States,Date Unknown,Photographs,flowering small tree along riverbank
"Flying catkins, flying flowers, where to go, from a set of 24 poems",United States,20th Century,Calligraphy,"two images with Chinese text on small left image and English translation at right; horizontal bands of color with spots and white--greens, yellow, grey, red, blue"
"Evening comes, wind rises, ringing the flower chimes, from a set of 24 poems",United States,20th Century,Calligraphy,"two images with Chinese text on small left image and English translation at right; horizontal bands of color with spots and white--blue, green, purple"
Birch Bark Flower,United States,20th Century,Not Assigned,"long stem with leaves and flower; brown on one side, tan on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"tulip form, with teardrop-shaped center cut out; dark brown on one side, light brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"daisy shape, with eight petals; medium brown on one side, light brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"tulip form on short stem with two rounded leaves; medium brown on one side, dark brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"round-blossomed flower on long stem with four leaves; dark brown on one side, light brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"fragment of flower and leaves; light brown on one side, medium brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"fragment of flower with stem and leaves; medium brown on one side, light brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,"flower blossom with many petals; dark brown on one side, light brown on opposite side"
Birch Bark Flower,United States,20th Century,Not Assigned,four-petal flower with paper pattern attached to birch bark with black and white threads
Paper Pattern in the Form of a Flower,United States,20th Century,"Tools, Equipment, and Utilitarian Objects",tulip-shaped flower with diamond cutout at top; two leaves on stem with second cutout at bottom; ruled paper
Paper Pattern in the Form of a Flower,United States,20th Century,"Tools, Equipment, and Utilitarian Objects","eight-petalled flower; printed magazine page-blue on one side, black and white photograph on other side"
Birch Bark Flowers,United States,Date Unknown,Woodwork,"one four-petalled flower, one three-petalled flower and bud on stems; light brown; received mounted in shadow box with L2007.168.85-.88"
Birch Bark Flower Spray,United States,Date Unknown,Woodwork,"symmetrical design with four flowers-two tulips and two five-petalled flowers; tan; received mounted in shadow bow with L2007.168.84, .86-.88"
Birch Bark Flower,United States,Date Unknown,Woodwork,"symmetrical organic form with five lobes and two stems; brown; received mounted in shadow bow with L2007.168.84, .85, .87, .88"
Birch Bark Flower Spray,United States,Date Unknown,Woodwork,"roughly symmetrical with two organic stems at top and one stem at L; light tan; received mounted in shadow bow with L2007.168.84-.86, .88"
Birch Bark Flowers,United States,Date Unknown,Woodwork,tulip and bud on leafed stem; brown; received mounted in shadow box with L2007.168.90-.93
Birch Bark Flower,United States,Date Unknown,Woodwork,"blossom with five lobes; openwork three petal center design; tan; received mounted in shadow box with L2007.168.89, .91-.93"
Birch Bark Flower,United States,Date Unknown,Woodwork,"geometricized flowr shape; symmetrical; three petals on short stem; brown; received mounted in shadow box with L2007.168.89, .90, .92, .93"
Birch Bark Flower,United States,Date Unknown,Woodwork,"five-lobed flower with openwork teardrop shape at center on a long stem with four leaves and two buds; light brown; received mounted in shadow box with L2007.168.89-.91, .93"
Birch Bark Flower,United States,Date Unknown,Woodwork,blossom with four petals; symmetrical; brown; received mounted in shadow box with L2007.168.89-.92
Sun Flowers,United States,20th Century,Photographs,"two sunflower blossoms, six buds and foliage; black background"
Flowers,United States,20th Century,Photographs,variety of flower spikes in a garden; middle ground flower spikes highlighted
Flowers in a Japanese Jar,United States,19th Century,Prints,flowers in a black jar
Vase,England,19th Century,Ceramics,"yellow ground; white interior; silver, gold, red and blue decoration; two thin clusters of flowering branches; repeating decorative pattern around top"
"Serving Dish with Cover, one of a pair",China,Date Unknown,Ceramics,"ovoid dish with undulating flat rim; slightly domed cover with organic finial in gold; interior of bowl has white ground with small flower sprays and insects; two figural cartouches on exterior of dish and two cartouches with flowers and pairs of birds; cover has two rondels with birds, two cartouches with peacocks and two cartouches with figures; flowers and insects surround cartouches on cover and dish"
"Serving Dish with Cover, one of a pair",China,Date Unknown,Ceramics,ovoid dish with undulating flat rim; slightly domed cover with organic finial in gold; interior of bowl has white ground with small flower sprays; two figural cartouches on exterior of dish and two cartouches with flowers and pairs of birds; cover has two rondels and two cartouches with birds and two cartouches with figures; flowers and insects surround cartouches on cover and dish
"Plum Blossoms, Bamboo, and Narcissus",China,19th Century,Paintings,branch with blossoms extending toward left from right edge at top; irregularly-shaped rock in LRC with flowers in front
"Fêtes des morts, Mexique",France,20th Century,Photographs,figure wearing a rubber mask adjusts two very long candles on a grave decorated with flowers and other candles; another similar grave at right
"Femmes aux fleurs, Portugal",France,20th Century,Photographs,"two women in profile, with scarves tied around their heads, each holding a large basket of flowers on her head"
"Place Saint-Suplice, Paris",France,20th Century,Photographs,"old woman seated on a bench on a city street, looking down; woman wears dark dress with lace collar, flowered scarf and hat with veil and carries checkered umbrella"
"Homage au Douanier Rousseau, Paris",France,20th Century,Photographs,"nude woman, seen from back, wearing a turban and an earring, reclining on one elbow, surrounded by dense foliage, cutout exotic flowers and lion mask at right"
"Fleurs des champs, Forêt de Fontainebleau",France,20th Century,Photographs,two light-colored flowers and foliage in a clear vase; light-colored tabletop
Panel,France,20th Century,Textiles,"jacquard woven; gold on black with sections in orange, turquoise and purple; repeating abstract flower and leaf pattern"
Poppies,Germany,20th Century,Drawings,"yellow, red, blue, purple and orange flowers against a blue ground"
Baby Carrier,China,Date Unknown,Textiles,"central panel predominately pink and red, embroidered with flowers, fish and insects; body is pieced with orange, purple, green and tan triangles; brown striped backing"
Pair of Earrings,China,Date Unknown,Adornment,"elaborate dangles with four central floral blossoms (three large, two small); six small floral blossoms hang from chains on central floral cluster; two small openwork wire dangles hang from each dangling small flower"
Collar,China,19th Century,Accessories,"couched threads on blue silk-covered paper; wide brown outer border patterned by couching threads; narrow inner border couched by gold threads, sequins and 18 round mirrored buttons; floral and scroll motifs with sequins in flower centers; wide center section with primarily gold threads forming celestial landscape, two large phoenixes and many other symbols"
"Blouse, from a two-piece wedding costume",China,19th Century,Clothing,"red silk body embroidered overall with birds, flowers and moths; medallions on chest and back embroidered with pairs of figures; pink lining"
"Skirt, from a two-piece wedding costume",China,19th Century,Clothing,"two panels sewn onto blue waistband; red silk panels embroidered with bird, flowers and fish; pink backing"
"National Holiday, June 30, Boulevard de Clichy",France,19th Century,Prints,"street scene; buildings on right all have flags; people with children and dogs walking along sidewalk; carriages on street; flower seller with cart center right; margins have sketches of people, horse drawn carriages and buildings"
Adam and Eve,Mexico,20th Century,Sculpture,Adam and Eve flank a blue-trunked apple tree with yellow and red apples and green leaves; red devil figure and blue striped snake in treetop; small red deer-like animal and three-dimensional leaves and flowers in front of figures on ground; bright colors
