File,_ - accession_number,_ - artist,_ - title,_ - country,_ - dated,_ - description,_ - id,_ - style,_ - classification
98062.json,2005.126.1,,Child's Tiger Hat,China,Date Unknown,orange tiger's face at top and front with purple ears; small tiger's tail on back at top; black around sides and back with flowers; blue and white tail with pink lotus blossom and gold floral designs,http://api.artsmia.org/objects/98062,Qing dynasty, Accessories
98063.json,2005.126.2,,Child's tiger hat,China,Date Unknown,black with light blue lining; purple ears; purple nose; sides and back embroidered with flowers,http://api.artsmia.org/objects/98063,Qing dynasty, Accessories
98064.json,2005.126.3,,Portable Shrine,Tibet,Date Unknown,"silver compartmentalized container on blue yarn cord with two large tassels at bottom; box decorated with three rectangular cartouches on each side with dragons, birds and flowers; six round silver beads, one square bead and bird-shaped bead at top",http://api.artsmia.org/objects/98064,, Metalwork
98143.json,2005.136.57,,Bag,Syria,19th century,"knit; green, black; birds, flowers in urns--both sides; edged in green braid--all sides",http://api.artsmia.org/objects/98143,19th century, Textiles
98150.json,2005.136.64,,Cloth,Syria,c. 1985,"resist dyed; long with repeat horizontal pattern of five ""flowers"" with border pattern on top and bottom; cotton gauze in dark brown with orange designs",http://api.artsmia.org/objects/98150,20th century, Textiles
98181.json,2005.126.4,,Woman's Skirt,China,early 20th century,"two panels attached at waistband creating wrap effect; each panel has stripes in light blue, turquoise, pink, white and green, with pleats and embroidered butterflies and flowers, at one side; opposite side has large curvilinear appliqué with elaborately-embroidered birds and flowers",http://api.artsmia.org/objects/98181,20th century, Clothing
98205.json,"2007.12.2a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98205,18th century, Textiles
98208.json,"2007.12.5a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98208,18th century, Textiles
98211.json,"2007.12.8a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98211,18th century, Textiles
98214.json,"2007.12.11a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98214,18th century, Textiles
98217.json,"2007.12.14a,b",,Upholstery for pair of sofa arms,France,18th century,large red flower against white and red ground with scrolls and foliage. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98217,18th century, Textiles
98220.json,"2007.12.17a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98220,18th century, Textiles
98227.json,"2007.12.24a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98227,18th century, Textiles
98228.json,"2007.12.25a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98228,18th century, Textiles
98230.json,"2007.12.27a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98230,18th century, Textiles
98233.json,"2007.12.30a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98233,18th century, Textiles
98236.json,"2007.12.33a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98236,18th century, Textiles
98238.json,"2007.12.35a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98238,18th century, Textiles
98240.json,"2007.12.37a,b",,Upholstery for pair of chair arms,France,18th century,pink flower edged with scrolls on red ground; stitched to stiff tan fabric backing with wide open weave and twill edging. Former Classification: Textiles - Tapestry,http://api.artsmia.org/objects/98240,18th century, Textiles
98357.json,2006.100.112,Designer: Vic Helfenberger; Manufacturer: Moygashel,Ophir,Ireland (?),1950s,"dark blue ground; four different repeating large flowers in blue, olive, pink, white and purple; originally sewn as a curtain--stitching removed at top, bottom and one side by textile curator",http://api.artsmia.org/objects/98357,20th century, Textiles
98398.json,2006.11.9,Photographer: Lilo Raymond,Curtains and Vase,United States,1977,glass with a small bouquet of flowers on a tabletop at right; sun shining through a window with tied-back curtains at left,http://api.artsmia.org/objects/98398,20th century, Photographs
98402.json,2005.133.1,Artist: Helen Allingham,A Wiltshire Cottage,England,19th-20th century,two children (larger child holding smaller) in the open doorway of a small cottage with thatch roof; birds on roof; two kittens on stone steps; flower garden to left of door,http://api.artsmia.org/objects/98402,19th-20th century, Drawings
98403.json,2005.133.2,Artist: Anna Ticho,Flowers,Israel,20th century,abstracted orange and salmon-colored flowers with brown and green stems and leaves; white and blue wash ground,http://api.artsmia.org/objects/98403,20th century, Drawings
98419.json,2005.114.1a-q,Artist: Sugiura Yasuyoshi,Lilies,Japan,21st century,14 water lily leaves with one large flower and one smaller flower extending up from a black metal base; leaves and flowers detach from base,http://api.artsmia.org/objects/98419,21st century, Ceramics
98421.json,2005.120.1a-d,,"Water kettle and stand, from a six-piece tea and coffee service",Mexico,c. 1950-1960,large water kettle with hinged cover; two bone or ivory rings on handle; shoulder decorated with scrolling flowers; raised stand with warming burner at bottom center,http://api.artsmia.org/objects/98421,20th century, Metalwork
98422.json,2005.120.2,,"Teapot, from a six-piece tea and coffee service",Mexico,c. 1950-1960,"teapot on footed base; hinged cover; two bone or ivory rings on handle; shoulder decorated with scrolling flowers; ribs on body, foot and cover",http://api.artsmia.org/objects/98422,20th century, Metalwork
98423.json,2005.120.3,,"Coffee pot, from a six-piece tea and coffee service",Mexico,c. 1950-1960,"coffee pot on footed base; hinged cover; two bone or ivory rings on handle; shoulder decorated with scrolling flowers; ribs on body, foot and cover",http://api.artsmia.org/objects/98423,20th century, Metalwork
98424.json,2005.120.4,,"Creamer, from a six-piece tea and coffee service",Mexico,c. 1950-1960,cream pitcher on a footed base; wide pour spout; shoulder decorated with scrolling flowers; ribs on body and foot,http://api.artsmia.org/objects/98424,20th century, Metalwork
98425.json,"2005.120.5a,b",,"Sugar bowl, from a six-piece tea and coffee service",Mexico,c. 1950-1960,two-handled sugar bowl on a footed base; shoulder decorated with scrolling flowers; ribs on body and foot; flame-like finial,http://api.artsmia.org/objects/98425,20th century, Metalwork
98489.json,2005.134.2,,Adinkra cloth,Ghana,Date Unknown,"brown print of checks, concentric circles and flower shapes on beige ground; multicolored embroidery at vertical seams",http://api.artsmia.org/objects/98489,, Textiles
98575.json,2005.159.33,,Bowl,,c. 1800,"interior decorated with ""Tobacco Leaf"" design of brightly-colored leaves and pink flowers; exterior is white; gold rim and gold ring around foot",http://api.artsmia.org/objects/98575,Chinese export, Ceramics
98576.json,"2005.159.34.1a,b",,"Sauceboat and cover, one of a pair, with the Van Revenhorst coat of arms",,c. 1745,"cover: arms of Van Revenhorst surrounded by coronet and winged horse crest, within eight named armorials and flower scrolls; sauceboat: two handles; gilt and red floral designs at interior and exterior",http://api.artsmia.org/objects/98576,Chinese export, Ceramics
98577.json,"2005.159.34.2a,b",,Sauce tureen with arms of van Reverhorst,China,c. 1745,"cover: arms of Van Revenhorst surrounded by coronet and winged horse crest, within eight named armorials and flower scrolls; sauceboat: two handles; gilt and red floral designs at interior and exterior",http://api.artsmia.org/objects/98577,Chinese export, Ceramics
98606.json,2005.154.45,Photographer: David Parker,"Making Masa (Corn Meal), Nicaragua",United States,2004,"girl wearing a flowered dress with a white collar, mixing corn meal with her hand in a bowl",http://api.artsmia.org/objects/98606,21st century, Photographs
98643.json,30.23.27,,Suzani,Uzbekistan,19th century,"five tan cotton ground embroidered panels sewn together; on center, rectangle with borders on all four sides; motifs embroidered with red, pink, green, blue, yellow and orange silk are large and small flowers and foliage",http://api.artsmia.org/objects/98643,19th century, Textiles
98670.json,2005.145.4,Maker: Carris Pottery,Charger,United States,1976,"large plate with small rim and short foot; abstracted design of flowers, green dots and red waves; flowers around exterior edge; blue, green, red, white; hanger attached",http://api.artsmia.org/objects/98670,20th century, Ceramics
98704.json,2005.164.2,Artist: Saverio Manetti,"Anatra marina minore col ciuffo, Maschio, Plate DLXXXXI, from ""Ornithologia Methodice Digesta""",Italy,1767-1776,"duck standing on a green rock, with head turned back; duck has feathery topknot; black, brown and white feathers; small branch with three red flowers to R of rock",http://api.artsmia.org/objects/98704,18th century, Prints
98739.json,2005.137.3,,Ikat wall hanging,Uzbekistan,c. 1850-1875,"red, blue, purple, yellow on white ground; circle and crescent design with flowers; tan backing",http://api.artsmia.org/objects/98739,19th century, Textiles
98741.json,2005.137.5,,Ikat wall hanging,Uzbekistan,c. 1850-1875,"red ground with yellow paisley shapes; embroidered border of flowers around an archway; running border at left, right and top; tan backing",http://api.artsmia.org/objects/98741,19th century, Textiles
98742.json,2005.137.6,,Ikat panel,Uzbekistan,c. 1850-1875,"purple, yellow, red, blue, white, green; diamond motif with 14 arms with flowers; mounted to grey fabric-covered board",http://api.artsmia.org/objects/98742,19th century, Textiles
98744.json,2005.152.1,,Theorem Painting,United States,19th century,"painting and stencil design on cream-colored flannel (or velvet?); fruit basket at center; twining blue flowers at left and right edges, salmon-colored flowers at bottom",http://api.artsmia.org/objects/98744,19th century, Textiles
98827.json,2005.136.120,,Ceremonial over-blouse (sobrehuipil),Guatemala,1910-1930,"large garment woven in three panels and stitched together; bottom 12"" off-white; top is maroon and gold woven horizontal geometric patterns; four medallions with lace edges forming a circle of multicolor polyester ribbon flowers; neck and sleeves piped in lace",http://api.artsmia.org/objects/98827,20th century, Textiles
98839.json,2005.136.132,,Phulkari,India,c. 1925-1950,"solid 1 3/4"" squares with silk leaf embroidery on rust wool (?) woven cloth; vertical sides have borders with leaves and flowers; embroidery is satin stitch in gold, yellow, with random purple, cerise and olive green; three panels hand stitched together",http://api.artsmia.org/objects/98839,20th century, Textiles
98849.json,2005.136.142,,Suzani,Uzbekistan,1890-1900,three panels sewn together; embroidered flowers and leaves in diamond shapes bordered in running pattern of same design; rose and green on off-white cotton; center panel has more open space surrounding six floral sprays; red and white commercial binding tape around piece,http://api.artsmia.org/objects/98849,19th-20th century, Textiles
99125.json,2005.141.1,,Pincushion,United States,20th century,"padded miniature pillow; five-petalled flower form; brown velvet top, tan cotton back; white beads at edge; clear, blue and pink beaded hearts on petals",http://api.artsmia.org/objects/99125,20th century, Beadwork
99127.json,2005.141.2,,Container,United States,20th century,red boot; pink backing; two large beaded flowers with leaves on body of boot; dangling bead loops at center of flowers and sole of boot at toe and heel; predominately clear beads,http://api.artsmia.org/objects/99127,20th century, Beadwork
99129.json,2005.141.4,,Match safe whimsey,United States,1909,"burnt orange with orange, tan and brown beads and sequins; blue-grey backing; two pouches; flower-like designs; ""1909"" on bottom below pouches",http://api.artsmia.org/objects/99129,20th century, Beadwork
99133.json,2005.141.7,,Pincushion,United States,20th century,"heart-shaped with third central lobe; padded small pillow form; pink front, salmon back; heavily beaded around edges; central flower-like shape; multicolored dangles; predominately clear and blue beads",http://api.artsmia.org/objects/99133,20th century, Beadwork
99134.json,2005.141.8,,Container,United States,20th century,"slip-on shoe shape; red upper; blue on bottom; clear, blue, green and brown beads in geometric and flower designs",http://api.artsmia.org/objects/99134,20th century, Beadwork
99138.json,2005.141.12,,Picture Frame,United States,20th century,"roughly bell-shaped; grey front, red backing; three clear and orange beaded flowers and stem motifs; dangling loops at bottom; received with postcard photo of seated man wearing a suit",http://api.artsmia.org/objects/99138,20th century, Beadwork
99139.json,2005.141.13,,Picture Frame,United States,1910,"roughly bell-shaped; pink front, red back; five clear, orange and pink beaded flowers with leaves and balls; ""1910"" at bottom; received with photograph of a man wearing a jacket and tie",http://api.artsmia.org/objects/99139,20th century, Beadwork
99142.json,2005.141.15,,Pincushion,United States,20th century,heart-shaped with third top central lobe; tan velvet on front; brown with blue edging on back; predominately clear beaded design of flowers with three dangling loops of beads and four leaves,http://api.artsmia.org/objects/99142,20th century, Beadwork
99143.json,2005.141.16,,Pincushion,United States,20th century,small pillow design; heart-shaped with third top central lobe; olive green velvet front; cream-colored back; pair of birds on a branch with two leaves and flower in clear beads--each bird holds a leafy branch; multicolored beaded design at top,http://api.artsmia.org/objects/99143,20th century, Beadwork
99144.json,2005.141.17,,Container,United States,20th century,"pale orange on front and back; slightly padded; squared-off boot toe; 2 large clear beaded flowers with red and white, and yellow and white, centers",http://api.artsmia.org/objects/99144,20th century, Beadwork
99164.json,2005.141.34,,Whimsey in the form of a purse,United States,1913,"pink front, red lining; clear, green and white beads; large raised flower motif on back, five small circular motifs on front; ""1913"" on flap; four dangles (two green, two red) at bottom",http://api.artsmia.org/objects/99164,20th century, Beadwork
99167.json,2005.141.36,,Pillow form whimsey in the form of a heart,United States,1901,"roughly heart-shaped, flat pillow with maroon velvet center; taupe, white, blue, yellow and amber beads; flower at top center with large leaves on right and left lobes of shape; small flower motifs at bottom and along leaf stems; ""FROM / NIAGARA / FALLS / 1901"" in center",http://api.artsmia.org/objects/99167,20th century, Beadwork
99169.json,2006.7.2,,Bowl,China,10th century,"shallow, rounded bowl stands on a neatly cut, beveled foot rim; white slip covers the interior and upper half of the exterior, revealing the slightly coarse, buff-grey body; a deep brown-glaze, with six petal lobes, is applied over the slip creating a striking flower pattern",http://api.artsmia.org/objects/99169,10th century, Ceramics
99172.json,2005.141.38,,Whimsey in the form of a purse,United States,c. 1910-1919,"pink velvet front and back, cotton top and sides; red, green, blue, white and amber colored beads; duck on front and back; flower on side panels; two handle strings and six dangles; partial date on top: ""191-""",http://api.artsmia.org/objects/99172,20th century, Beadwork
99173.json,2005.141.39,,Pillow form whimsey,United States,c. 1908,"roughly heart-shaped pillow; rusty red velvet top; rusty brown backing; central motif of three large flowers with leaf and fronds; top center has three leaves; two leaves on each lobe; ""1908 (?)"" in green and white beads; two sets of dangles, four strands each",http://api.artsmia.org/objects/99173,20th century, Beadwork
99175.json,2005.141.40,,Pillow form whimsey,United States,Date Unknown,"padded six-pointed star-shaped pillow; central background is red, remainder is tan; back is gold; central motif of flowers or foliage; remaining area has concentric rows following pillow outline; bead colors are brown, white, clear, orange, green, blue, amber and yellow",http://api.artsmia.org/objects/99175,, Beadwork
99176.json,2005.141.41,,Pillow form whimsey,United States,Date Unknown,"padded star-shaped pillow; tan velvet center; red back; central flower with leaves and fronds around edges; dangles at each point except one (lost?); red, blue, green, amber and clear beads",http://api.artsmia.org/objects/99176,, Beadwork
99189.json,2005.157.2.12,Artist: Valentin Popov,"Untitled, from ""21 Original Etchings Based on Ivan Turgenev's 'Torrents of Spring'""",United States,1993-1996,"young man reaching toward young woman holding a flower, seen through a sketchy window opening; shadow in LRC",http://api.artsmia.org/objects/99189,20th century, Prints
99195.json,2005.157.2.18,Artist: Valentin Popov,"Untitled, from ""21 Original Etchings Based on Ivan Turgenev's 'Torrents of Spring'""",United States,1993-1996,"standing man wearing a heavy coat, holding a top hat in one hand and papers in the other; carriage in background, LRC; woman beneath a tree in background, LLC; flowers and bee floating over man's head",http://api.artsmia.org/objects/99195,20th century, Prints
99198.json,2005.157.2.21,Artist: Valentin Popov,"Untitled, from ""21 Original Etchings Based on Ivan Turgenev's 'Torrents of Spring'""",United States,1993-1996,"man reclining on a couch, propped on his PL elbow; large portrait of a woman above couch; large flower bouquet to right of couch",http://api.artsmia.org/objects/99198,20th century, Prints
99273.json,2006.51.1a-d,,Pair of woman's shoes for bound feet,China,19th century,small slippers with detachable cylindrical heel platforms; black with flowers embroidered on pink trim; blue interiors; white soles; sole on platform sewn with flower blossom,http://api.artsmia.org/objects/99273,19th century, Accessories
99277.json,2006.51.3,,Lamaist ritual diadem,China,late 19th century,"5 plaques, each with a central symbol in yellow surrounded by 9 auspicious symbols and a kirttimukha mask against a flowering vine ground; leather ties",http://api.artsmia.org/objects/99277,19th century, Accessories
99281.json,2006.17.2.1,Artist: Nicolas-François Regnault,"La Digitale (Foxglove), from "" La Boutique mise a la portee de tout le monde""",France,1774,"roots, thick stem and leaves at bottom; separate stem with dark pink graduated flowers above stem and leaves; cross-section of blossom, ULC; seed pods in LRQ",http://api.artsmia.org/objects/99281,18th century, Prints
99301.json,2006.4,Artist: Tanikado Hisaharu,A Game of Go,Japan,c. 1924,"two kneeling women (one wears peach and white kimono, other wears light blue and white kimono), with a Go board between them; board platform and vessel for playing pieces is blush pink with tan and brown flowers; woman at R holds a thin brown and black pipe; two fold screen",http://api.artsmia.org/objects/99301,20th century, Paintings
99384.json,2015.79.153,Artist: Tsubaki Chinzan,Swallow's Song in Spring Breeze,Japan,"1852, 3rd lunar month","two black and orange birds perched in the lower limbs of a tree branch; wispy, willowy branches interspersed with pink and purple flowers",http://api.artsmia.org/objects/99384,19th century, Paintings; Calligraphy
99399.json,2015.79.54,Artist: Geiai,Sparrows among Millet and Asters,Japan,first half 16th century,two sparrows on a bent millet stalk near center; three others fighting over seed on the ground at LL; millet plant at R extending to UC; flowers at R,http://api.artsmia.org/objects/99399,16th century, Paintings
99444.json,2006.46,,Gahu Amulet Box,Tibet,19th century,"ovoid box with hinged cover; three raised characters on back; raised characters under cover; cover decorated with yali head on top, with various inlaid gems (primarily turquoise) and wire filigree; inlaid multicolred gems around edges of box; tara inside with turquoise inlay and gems on crown, holding filigree flowers",http://api.artsmia.org/objects/99444,19th century, Metalwork
99488.json,2006.100.85,,Tush kyiz (hanging),Kyrgyzstan,1960,"roughly U-shaped, with open central bottom section; sides embroidered with multicolored towers with clocks, flying birds and rockets labeled, ""CCCP""; center top panel embroidered with shield with setting sun, cotton plants, hammer and sickle, and ""1960"", flanked by flower-like medallions; black ground",http://api.artsmia.org/objects/99488,20th century, Textiles
99489.json,2006.100.86,,Tush kyiz (hanging),Kyrgyzstan,c. 1962,"black bands at top and sides with central triangular overlay; red at center and red trim; bands embroidered with outer running flower pattern and inner organic medallions in multicolors; triangular section embroidered with a seal with a sunset over mountains, cotton, wheat and a hammer and sickle; ""1962"" below seal",http://api.artsmia.org/objects/99489,20th century, Textiles
99491.json,2006.100.87,,Tush kyiz (hanging),Kyrgyzstan,c. 1940s-1950s,"roughly U-shaped, with open central bottom section and two triangular descending elements at center; black ground decorated with multicolored (primarily salmon) flower sprays and medallions; salmon pink fabric trim",http://api.artsmia.org/objects/99491,20th century, Textiles
99492.json,2006.100.88,,Tush kyiz (hanging),Kyrgyzstan,mid 20th century,"black borders at sides and top, trimmed in rust, with central triangular piece; lower center is red, white, yellow, purple, olive and brown ikat; black areas decorated with curvilinear designs alternating with orange medallions surrounding shooting stars and flowers; medallion on triangle with flower in center; text embroidered at top edge",http://api.artsmia.org/objects/99492,20th century, Textiles
99493.json,2006.93,"Artist: Unknown American, 19th century",Untitled,,19th century,"primitive ""schoolgirl"" drawing of seminary and school grounds with brick buildings and white building, gazebos and sheds; black oval border with yellow flowers in corners",http://api.artsmia.org/objects/99493,19th century, Drawings
99550.json,2006.44.4,Artist: Cheng Yi,Red Jade and Coral,China,c. 1685,"rocky formations ascending upward; blue-grey, green and red foliage, flowers and moss; inscription at left edge, ULC",http://api.artsmia.org/objects/99550,17th century, Paintings
99554.json,2006.23,Artist: Unknown Japanese,"Kimono (furisode) with design of peonies, chrysanthemums, wisteria, and fans",Japan,late 18th century,"orange ground; white undyed areas forming leaves, flower and fans, accented with green, gold and purple embroidery; white lining",http://api.artsmia.org/objects/99554,18th century, Clothing
99577.json,"2006.47.2a,b",,Cricket Box,China,18th century,"round box with curved bottom; roughly shaped like a flower with five pairs of notches suggesting ""petals""; seven round holes in cover",http://api.artsmia.org/objects/99577,18th century," Woodwork; Tools, Equipment and Utilitarian Objects"
99677.json,2006.97,,Man's turban (Pagri),India,19th century,"black with rust, yellow and white diagonal patterns of flowers, paisleys and various designs; orange ground with blue, white, yellow and green at ends; gold metallic band at ends; text or numbers in gold at one end",http://api.artsmia.org/objects/99677,19th century, Textiles; Accessories
99722.json,2006.42,Artist: Unknown Japanese,Buddhist Reliquary in the Shape of a Wish-Granting Jewel,Japan,16th-17th century,"octagonal stepped base with lotus flower at top of base; clear glass globe at top with three vertical metal ""flames"" around it; glass globe filled with multicolored pebbles",http://api.artsmia.org/objects/99722,16th-17th century, Metalwork; Ceremonial Objects
99727.json,2006.104.5,,"Tongs, from a five-piece set",Iraq (?),c. 1940s,"round, cupped ends; decorated with scene of building, sailboat and palm trees with water; two flower sprays at sides",http://api.artsmia.org/objects/99727,20th century, Metalwork
99741.json,2007.35.62,Photographer: Imogen Cunningham,"Alfred Stieglitz, Photographer",United States,1934,"portrait of a man with white hair and moustache and round glasses, wearing a dark coat; man stands in front of a flower painting by Georgia O'Keefe",http://api.artsmia.org/objects/99741,20th century, Photographs
99789.json,2006.35,,Tiled Arch,Pakistan,18th century,"six underglazed-painted tiles with stylized flowers and leaves on scrolling vines; red earthenware with white slip and cobalt, turquoise and white design",http://api.artsmia.org/objects/99789,Mughal period (1526-1857), Ceramics
99790.json,2006.64.1,Artist: Pierre Bonnard,"Study for ""Dining Room in the Country""",France,1913,rough sketch; pitcher with flowers at L; window at R,http://api.artsmia.org/objects/99790,20th century, Drawings
99889.json,2008.48.1,,Bowl,Vietnam,1st century BCE - 1st century CE,blue and white deep bowl; bottom center decorated with sketchy flower spray; inner geometric rim band; wide outer rim band with foliate decorations; petal design at bottom on outside,http://api.artsmia.org/objects/99889,1st century BCE - 1st century CE, Ceramics
99894.json,2007.135.2,,Bowl,Vietnam,1st century BCE - 1st century CE,blue and white; rim flares slightly outward; inner rim band of organic design; four organic designs at interior; outer flower and foliage band; four organic shapes around foot; red on bottom,http://api.artsmia.org/objects/99894,1st century BCE - 1st century CE, Ceramics
99912.json,"2007.135.12a,b",,Covered vessel,Thailand,1st century BCE - 1st century CE,"rounded body; flat top; low foot ring; light grey ground; overall design in blue with abstracted flower at top center, vine-like designs on sides and five rings around bottom",http://api.artsmia.org/objects/99912,1st century BCE - 1st century CE, Ceramics
99914.json,2007.135.14,,Jarlet,Vietnam,1st century BCE - 1st century CE,"blue and white; rounded body on ring foot; flat shoulder; short mouth ring; decorated with band of foliage, flower form around mouth and three organic designs at bottom edge",http://api.artsmia.org/objects/99914,1st century BCE - 1st century CE, Ceramics
99918.json,2007.135.16,,Bowl,Vietnam,1st century BCE - 1st century CE,small bowl on ring foot; scalloped rim; blue and white; flower petals on rim; central organic design; band of foliage on exterior with four organic designs below,http://api.artsmia.org/objects/99918,1st century BCE - 1st century CE, Ceramics
99920.json,2008.48.8,,Vessel,,1st century BCE - 1st century CE,ring foot; small jar with wide shoulder; five subtile lobes on body; blue and white; blue flower around mouth; band of flowers and foliage around body with four organic designs below,http://api.artsmia.org/objects/99920,1st century BCE - 1st century CE, Ceramics
99931.json,2008.48.11,,Vessel,China,1st century BCE - 1st century CE,"small green vessel with flat foot; rounded, bulbous body; wide ring mouth; two small ring handles; moulded flower and vine designs",http://api.artsmia.org/objects/99931,1st century BCE - 1st century CE, Ceramics
99940.json,2008.48.12,,Bowl,Vietnam,1st century BCE - 1st century CE,"small bowl; ring foot; mouth rim flares slightly outward; white ground; blue, green and red flower and organic motifs with band of X's around interior rim",http://api.artsmia.org/objects/99940,1st century BCE - 1st century CE, Ceramics
99944.json,2007.135.26,,Small Bowl,Vietnam,1st century BCE - 1st century CE,small dish with ring foot; outward-flaring rim; white ground; petal design on exterior; flowers at interior; pattern of X's at inner rim; decorations in red and green,http://api.artsmia.org/objects/99944,1st century BCE - 1st century CE, Ceramics
99952.json,2007.135.29,,Bowl,Thailand,1st century BCE - 1st century CE,"tall, outward-flaring ring foot; bowl has slightly outward-flaring scalloped rim; green and brown foot; bowl is light blue with dark blue designs in six cartouches at interior with radiating central flower (or sunburst); geometric and organic designs on exterior",http://api.artsmia.org/objects/99952,1st century BCE - 1st century CE, Ceramics
100135.json,"2006.41a,b",,Box with cover,China,18th century,"raised scalloped foot; scalloped edges; low relief designs of vines, fruit and leaves around edges, flowers and leaves around edge of cover and central floriform shape made up of scrolls with characters and bats; black, browns, gold; golden brown interior",http://api.artsmia.org/objects/100135,18th century, Lacquer
100145.json,2007.35.477,Photographer: Linda Connor,"Seven Sacred Pools, Maui, Hawaii",United States,1978,meandering stream in rocky landscape with scattered foliage and flowers in URQ,http://api.artsmia.org/objects/100145,20th century, Photographs
100154.json,2007.35.480.6,Photographer: Walker Evans,"Wellfleet, Massachusetts",United States,1931 (printed 1971),"sketched portrait of a man, water-spotted envelope and flowers seen through a window",http://api.artsmia.org/objects/100154,20th century, Photographs
100166.json,2008.82,Artist: Takehisa Yumeji; Publisher: Senow; Composer: Fujii Kiyomi,"""In White Hand""",Japan,c. 1921,"folded sheet, left profile of a woman's head, breast, and arms at right side of front cover; woman has blue hair and is smelling a yellow flower with human eye at center; sheet music at inside two pages; back cover has Japanese text",http://api.artsmia.org/objects/100166,20th century, Documents
100168.json,2007.35.484,Photographer: Edward Weston; Printer: Cole Weston,"Tina Modotti, Glendale, California",United States,1922,"woman with shoulder-length dark hair wearing a long Art Deco print shift, seated in a wicker chair; three wicker stands--one at right holds round vessel of flowers; round lantern (?), ULC",http://api.artsmia.org/objects/100168,20th century, Photographs
100238.json,2006.100.64,,Woman's blouse (Huipil),Guatemala,c. 2000,"white with groups of three red narrow stripes hidden in the weft; decorated with multicolored dots, flowers, zigzags, chevrons and lines, V-neck",http://api.artsmia.org/objects/100238,20th-21st century, Textiles
100241.json,2006.100.67,,Woman's ceremonial blouse (Huipil),Guatemala,c. 1985,"woven with white-on-white stripes; neckline and sleeves trimmed in crochet; purple embroidery--same on each side--of flower, geometric and organic designs",http://api.artsmia.org/objects/100241,20th century, Textiles
100247.json,2006.100.73,,Woman's blouse (Huipil),Guatemala,c. 2000-2006,"warp woven with brown, and red and yellow stripes; rounded neckline; multicolored brocaded designs of zigzags, flowers, diamonds and geometric designs",http://api.artsmia.org/objects/100247,20th-21st century, Textiles
100304.json,2006.100.79,,Woman's ceremonial tzute,Guatemala,c. 1980s,"two panels sewn together by hand; maroon ground woven with warp stripes at each selvedge (four selvedge). Bright multicolored designs of flowers, fruit, leaves, birds, fish and pairs of angels.",http://api.artsmia.org/objects/100304,20th century, Textiles
100433.json,2006.100.100,,Woman's ceremonial blouse (Huipil),Guatemala,c. 1950s,"red with thin multicolored stripes; embroidered neckline with birds, flowers, feather and triangle designs in bright colors",http://api.artsmia.org/objects/100433,20th century, Textiles
100442.json,2006.49.8,Artist: Yoshida Fujio (self-published),Flowering Kale,Japan,1953,"abstracted close-up flower image in purples, green, yellow and light orange",http://api.artsmia.org/objects/100442,20th century, Prints
100443.json,2006.49.9,Artist: Yoshida Fujio (self-published),Yellow Iris,Japan,1954,"abstracted flower image in orange, yellow, greens, brown and blue",http://api.artsmia.org/objects/100443,20th century, Prints
100483.json,2007.35.132,Photographer: André Kertész,"Flowers, New York",United States,1978,bouquet of flowers on a cut glass plate; letter at right with birds and nest on top of sheet,http://api.artsmia.org/objects/100483,20th century, Photographs
100495.json,2007.35.144,Photographer: André Kertész,Untitled,United States,1979,bird figurine and flower on top of a glass; two glass hearts - one under first glass; biormophic glass form at left; blue sky with clouds,http://api.artsmia.org/objects/100495,20th century, Photographs
100498.json,2007.35.147,Photographer: André Kertész,Flowers for Elizabeth,United States,1976,bouquets of flowers on floor and on box at left; chair at right with a shirt hanging on its back and a book and eyeglasses on its seat,http://api.artsmia.org/objects/100498,20th century, Photographs
