objectid,accessionnum,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,attributioninverted,attribution,classification,visualbrowserclassification,wikidataid
147010,2008.115.4674,Flowers,August 1989,1989,1989,1976 to 2000,screenprint,"Sultan, Donald",Donald Sultan,Print,print,Q76455605
147473,2008.115.1711,Untitled (Flower),1940,1940,1940,1926 to 1950,color screenprint on wove paper,"Feher, Magda A.",Magda A. Feher,Print,print,Q76456467
147474,2008.115.1712,Untitled (Flower),c. 1940,1940,1940,1926 to 1950,color screenprint on wove paper,"Feher, Magda A.",Magda A. Feher,Print,print,Q76456468
147838,2008.115.3463,Untitled (Basket of Flowers),c. 1950,1950,1950,1926 to 1950,screenprint,"Meltzer, Doris",Doris Meltzer,Print,print,Q76457271
147995,2008.115.4417,Flowers,1948,1948,1948,1926 to 1950,screenprint,"Shoulberg, Harry",Harry Shoulberg,Print,print,Q76457529
148478,2008.115.1995,Flower Piece,1930s,1930,1939,1926 to 1950,pochoir,"Ganso, Emil",Emil Ganso,Print,print,Q76549192
148597,2008.115.578,THE LITTLE FLOWER,c. 1940,1940,1940,1926 to 1950,linocut,"Abbe, William Parker",William Parker Abbe,Print,print,Q76549769
148745,2008.115.1331,Untitled (Vase of Flowers),1935,1935,1935,1926 to 1950,pochoir,"Cramer, Konrad",Konrad Cramer,Print,print,Q76550357
148874,2008.115.2197,Flowers,1940-1941,1940,1941,1926 to 1950,screenprint,"Gottlieb, Harry",Harry Gottlieb,Print,print,Q76550802
149077,2008.115.3278,Purple Flowers,1942,1942,1942,1926 to 1950,screenprint,"MacCoy, Guy",Guy MacCoy,Print,print,Q76551352
149170,2008.115.3717,Flower,1974,1974,1974,1951 to 1975,drypoint and aquatint,"Nesbitt, Lowell",Lowell Nesbitt,Print,print,Q76551566
149226,2008.115.4005,Untitled (Vase of Flowers),1940-1941,1940,1941,1926 to 1950,screenprint,"Pytlak, Leonard",Leonard Pytlak,Print,print,Q76551701
149265,2008.115.4175,American Landscape: Living and Flowering Nature Forms,1941,1941,1941,1926 to 1950,etching,"Rosenborg, Ralph M.",Ralph M. Rosenborg,Print,print,Q76551791
149440,2008.115.4956,Flowers,c. 1945,1945,1945,1926 to 1950,screenprint,"Warsager, Hyman J.",Hyman J. Warsager,Print,print,Q76552230
149482,2008.115.5154,Untitled (Mexican Man With Bushel of Flowers),c. 1939,1935,1943,1926 to 1950,etching,"Ximenez, Alfredo",Alfredo Ximenez,Print,print,Q76552339
150771,2008.115.3778.b,"Untitled (Village Amidst Flowering and Other Trees, Mountains in Background)",1936,1936,1936,1926 to 1950,lithograph,"Oldfield, Otis William",Otis William Oldfield,Print,print,Q76552620
150828,2011.60.90,Bouquet of Flowers,1951,1951,1951,1951 to 1975,watercolor on title-page of bound volume,"Chagall, Marc",Marc Chagall,Drawing,drawing,Q64594884
150830,2011.60.92,The Artist Presenting a Bouquet of Flowers,1973,1973,1973,1951 to 1975,black crayon and pastel on title-page of bound volume,"Chagall, Marc",Marc Chagall,Drawing,drawing,Q64594887
150832,2011.60.94,Lovers with Flowers in a Night Sky,1968,1885,1930,1876 to 1900,color crayon on title-page of bound volume,"Chagall, Marc",Marc Chagall,Drawing,drawing,Q64594888
151077,2010.22.1,"Flowers, Paris","1951, printed 2004-05",1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163967
153177,2013.4.1,The Flower Peddler Near the Old Metropolitan Opera,c. 1940,1935,1945,1926 to 1950,gelatin silver print,Weegee,Weegee,Photograph,photograph,Q64170477
153666,2012.92.281,Kleine Glockenblume (Small Bellflowers),,1925,1935,1901 to 1925,lithograph in black on japan paper,"Heise, Wilhelm",Wilhelm Heise,Print,print,Q76556522
156580,2011.119.102,Flower Power,2004,2004,2004,2001 to present,"color spitbite and sugarlift aquatints with drypoint and printed collage elements on gampi paper chine collé, mounted onto wove Somerset paper","Provisor, Janis",Janis Provisor,Print,print,Q76560254
159396,2012.101.4.1,Give Me My Flowers While I Yet Live,2012,2012,2012,2001 to present,color lithograph and etching on wove paper,"Hancock, Trenton Doyle",Trenton Doyle Hancock,Print,print,Q76561163
159476,2012.101.4.2,Give Me My Flowers While I Yet Live,2012,2012,2012,2001 to present,5-color lithograph with 1-color etching in two panels,"Hancock, Trenton Doyle",Trenton Doyle Hancock,Print,print,Q76561170
160574,2013.5.5,Fenêtre et fleurs (Window and Flowers),1946,1946,1946,1926 to 1950,gelatin silver print,Brassaï,Brassaï,Photograph,photograph,Q64145514
160754,2012.118.76,"Midsummer leafage on Ailanthus Trees & backyard bushes in slight breeze, looks like 68°, guests had brought sunflowers the night before, gay club news on windowsill, I’d looked out my kitchen window with camera weekly almost a decade now, the garden courtyard cleaned and swept neat, East 12th street lower East Side Manhattan June 6, 1993.","1993, printed 1994",1993,1993,1976 to 2000,gelatin silver print,"Ginsberg, Allen",Allen Ginsberg,Photograph,photograph,
163091,2013.121.153,Man with Flower,1961 (published 1962),1961,1961,1951 to 1975,lithograph in black on Rives BFK wove paper,"Hirsch, Joseph",Joseph Hirsch,Print,print,Q77005694
164039,2014.3.1,May Flowers,"2002, printed 2013",2002,2002,2001 to present,chromogenic print,"Weems, Carrie Mae",Carrie Mae Weems,Photograph,photograph,Q64145701
164193,2013.143.9,"Flowers, etc.",1982,1982,1982,1976 to 2000,dye diffusion transfer print (Polacolor),"Kepes, György",György Kepes,Photograph,photograph,Q64154696
165187,1973.62.117,A Putto with a Wreath of Flowers,,1618,1655,1601 to 1650,etching on laid paper,"Schut I, Cornelis",Cornelis Schut I,Print,print,Q77007484
166921,2014.79.470,Plate Number 478. Child sprinkling water over some flowers,1887,1887,1887,1876 to 1900,collotype,"Muybridge, Eadweard",Eadweard Muybridge,Photograph,photograph,
167167,2015.16.7,Blumenstraussmädchen (Flower Seller),1775,1775,1775,1751 to 1775,engraving on laid paper,"Mark, Quirin, after Johann Christian Brand","Quirin Mark, after Johann Christian Brand",Print,print,Q77008065
168486,2014.177.241,"James Lee Flowers, Angola, Louisiana","March 19, 1999",1999,1999,1976 to 2000,gelatin silver print on aluminum,"Luster, Deborah",Deborah Luster,Photograph,photograph,Q64146545
169895,2015.19.886,Flowers in Goblet #2,1923,1923,1923,1901 to 1925,lithograph in black on wove paper,"Hartley, Marsden",Marsden Hartley,Print,print,Q77008957
170893,2016.117.107,"Washington, D.C. As in Moses' time, members of the St. Martins Spiritual Church remove their shoes during the annual ""flower bowl demonstration"" because during this service they walk on holy ground","1942, printed later",1942,1942,1926 to 1950,gelatin silver print,"Parks, Gordon",Gordon Parks,Photograph,photograph,Q64154345
175156,2016.22.204,Flowering Shrub,n.d.,1928,1987,1926 to 1950,gelatin silver print,"Warhol, Andy",Andy Warhol,Photograph,photograph,Q64074502
175279,2015.143.1400,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q77010452
176709,2015.19.3902,Flower,1969,1969,1969,1951 to 1975,acrylic on wood,"Truitt, Anne",Anne Truitt,Sculpture,sculpture,Q63863478
177065,2015.19.3901,Ice Flower,1969,1969,1969,1951 to 1975,acrylic sheet,"Krebs, Rockne",Rockne Krebs,Sculpture,sculpture,Q63864425
180061,2015.19.2701,Flowers,c. 1975,1970,1978,1951 to 1975,graphite on green wove paper mounted to paperboard,"Beal, Jack",Jack Beal,Drawing,drawing,Q64579230
183193,2015.19.1381,Kansas Sunflowers,1933,1933,1933,1926 to 1950,linocut in black on wove paper,"Sandzén, Birger",Birger Sandzén,Print,print,Q77012579
193859,2015.143.1493.2,"Birds, Hearts, and Flowers",1937-1938,1937,1938,1926 to 1950,color woodcut on cotton fabric,American 20th Century,American 20th Century,Print,print,Q77013567
193868,2015.143.1493.11,Flowers,1937-1938,1937,1938,1926 to 1950,color woodcut on cotton fabric,American 20th Century,American 20th Century,Print,print,Q77013597
193880,2015.143.1505.12,Flowering Bulb,1937-1938,1937,1938,1926 to 1950,color woodcut on cotton fabric,American 20th Century,American 20th Century,Print,print,Q77013627
193888,2015.143.1518.7,Pennsylvania Dutch Bird and Flower Design,1937-1938,1937,1938,1926 to 1950,woodcut in red on cotton fabric,American 20th Century,American 20th Century,Print,print,Q77013649
196161,2015.19.1029,Flowers in Friend's Window,1928,1928,1928,1926 to 1950,lithograph in black on wove paper,"Kuniyoshi, Yasuo",Yasuo Kuniyoshi,Print,print,Q77014106
198133,2015.19.2706,"Oak Balls and Flowers, I",1972,1972,1972,1951 to 1975,pen and black ink with wash on wove paper,"Blaine, Nell",Nell Blaine,Drawing,drawing,Q64618165
201355,2020.168.14,Dancing Flower,1956,1956,1956,1951 to 1975,woodcut on Japanese paper,"Schrag, Karl",Karl Schrag,Print,print,
204756,2014.146.5.9,"Flowers for Elizabeth, New York","1978, printed 1981",1978,1978,1976 to 2000,gelatin silver print,"Kertész, André",André Kertész,Photograph,photograph,Q64074261
205242,2015.163.38,"All dressed up with tie & tweed jacket, recently matriculated for M.A. at U.C. Berkeley, I'd just written Part II _Howl_, _Supermarket in California_, & _Sunflower Sutra_, clean-shaven poet, on Berkeley Street lighting a coffin-nail, camera in Peter Orlovsky's hands, 1956.","1956, printed later",1956,1956,1951 to 1975,gelatin silver print,"Ginsberg, Allen",Allen Ginsberg,Photograph,photograph,
205752,1949.3.70,A Flowerbed at Oaklawn,"1893, printed 1895/1896",1893,1893,1876 to 1900,platinum print,"Stieglitz, Alfred",Alfred Stieglitz,Photograph,photograph,Q64037750
207500,2019.159.1,The Flower of Love,1896,1896,1896,1876 to 1900,lithograph,"Munch, Edvard",Edvard Munch,Print,print,
207849,2016.143.33,Flowers and Ink Bottles,1985,1985,1985,1976 to 2000,"transparent and opaque watercolor, crayon, colored pencil, graphite, ink, and torn and cut-and-pasted paper on wove paper","Steinberg, Saul",Saul Steinberg,Drawing,drawing,Q64630601
208058,2015.142.2.1.53,Statue of Flora with a Crown of Flowers (plate LI),1704-1742,1704,1742,1701 to 1725,etching and engraving on laid paper,"Dorigny, Nicolas",Nicolas Dorigny,Print,print,Q77258530
208445,2016.184.27,"Wedding party, New York Municipal Building Marriage Chambers, waiting room-- second row Simon Pettet poet bridegroom, eternal flower child Rosebud Feliu bride, her son Harley Flanagan of Cro-Mags and his friend Manon Brière, maid of honor with glasses; front row Luc Sante essayist, Maria Saavedra and her fiancé best man Steven Taylor, mid-day, August 1984.",1984,1984,1984,1976 to 2000,gelatin silver print,"Ginsberg, Allen",Allen Ginsberg,Photograph,photograph,
210244,2017.54.59,Maurice and the Flowers,1977,1977,1977,1976 to 2000,lithograph in black on gray Rives wove paper,"Hockney, David",David Hockney,Print,print,Q77259749
213107,2017.179.6,American Indian Flowers,1986 (published 1989),1986,1989,1976 to 2000,color screenprint on Arches Cover wove paper,"Borofsky, Jonathan",Jonathan Borofsky,Print,print,Q77260942
213115,2017.178.1,Two Nudes with Flowered Rug,1976,1976,1976,1976 to 2000,brown sepia ink on rough wove paper,"Pearlstein, Philip",Philip Pearlstein,Drawing,drawing,Q64619519
214183,2018.44.63,Flowers,,1826,1899,1826 to 1850,crayon and graphite on paperboard,"Stella, Joseph",Joseph Stella,Drawing,drawing,Q64591381
214245,2015.19.5304,"Act I: The Birth of Ideas: Multiplied, and overflowed upon the Ocean","1980, printed 1981",1980,1980,1976 to 2000,silver dye bleach print,"Tress, Arthur",Arthur Tress,Photograph,photograph,Q64145022
214298,2018.44.103,"A  Series of Progressive Lessons, Intended to Elucidate The Art of Flower Paintings in Water Colours",1818,1818,1818,1801 to 1825,"bound volume with aquatints, some handcolored on wove paper","Hill, John",John Hill,Volume,volume,
215651,2022.35.29,Flower II from Bedford Series,1981,1981,1981,1976 to 2000,lithograph on Arches 88 paper,"Mitchell, Joan",Joan Mitchell,Print,print,
215652,2022.35.30,Flower III from Bedford Series,1981,1981,1981,1976 to 2000,lithograph on Arches 88 paper,"Mitchell, Joan",Joan Mitchell,Print,print,
217128,2018.201.18,Flower,1930s,1930,1939,1926 to 1950,gelatin silver print,"Norman, Dorothy",Dorothy Norman,Photograph,photograph,
217752,2018.196.30,"Dedication of museum to Poet Titsian Tabidze shot in Stalin purges 1937—evening at theater on main street, Tbilisi, Georgia (Tiflis), state dignitaries & writer’s union officials reading proclamations of rehabilitation, harps & medieval ladies on stage, portrait of the flower-lapelled Poet in place of honor—I visited Tbilisi at Bella Achmadulina’s suggestion, Picking visa renewal to stay in Moscow, late November 1985.",1985,1985,1985,1976 to 2000,gelatin silver print,"Ginsberg, Allen",Allen Ginsberg,Photograph,photograph,
219179,1974.6.1.12,Still-life with a Vase of Flowers,"1777, published 1821",1777,1821,1776 to 1800,etching printed in brown ink and hand-colored with wash,"Ploos van Amstel, Cornelis, or Elizabeth van Woensel, and Johannes Cornelis De Bruyn, after Jan van Huysum","Cornelis Ploos van Amstel (or Elizabeth van Woensel), and Johannes Cornelis De Bruyn (watercolorist ), after Jan van Huysum",Print,print,
219180,1974.6.1.13,"Still-life with Fruits, Flowers, and a Basket","1777, published 1821",1777,1821,1776 to 1800,etching printed in brown ink and hand-colored with wash,"Ploos van Amstel, Cornelis, or Elizabeth van Woensel, and Johannes Cornelis De Bruyn, after Jan van Huysum","Cornelis Ploos van Amstel (or Elizabeth van Woensel), and Johannes Cornelis De Bruyn (watercolorist), after Jan van Huysum",Print,print,
219339,2019.47.3,Untitled [flower],1981,1981,1981,1976 to 2000,monotype on white TLG handmade paper,"Baynard, Ed",Ed Baynard,Print,print,
220989,2019.156.19,Green Flowers,1994,1994,1994,1976 to 2000,color woodcut on laid paper,"Sultan, Donald",Donald Sultan,Print,print,
222554,2020.137.1,A Bouquet of Flowers in a Wicker Basket,c. 1680,1675,1685,1651 to 1700,etching and engraving on laid paper,"Monnoyer, Jean-Baptiste",Jean-Baptiste Monnoyer,Print,print,
224509,2022.49.1,Frances with Flower,1930–1932,1930,1932,1926 to 1950,gelatin silver print,"Kanaga, Consuelo",Consuelo Kanaga,Photograph,photograph,
226887,2023.30.135,Sunflowers,1921,1921,1921,1901 to 1925,gelatin silver print,"Steichen, Edward",Edward Steichen,Photograph,photograph,
227490,2023.40.1,Still Life with Flowers in an Alabaster Vase and Fruit,1783,1783,1783,1776 to 1800,oil on canvas (unlined),"Vallayer-Coster, Anne",Anne Vallayer-Coster,Painting,painting,
249,1939.1.108,A Girl with a Flower in Her Hair,1760/1762,1760,1762,1751 to 1775,oil on canvas,"Rotari, Pietro",Pietro Rotari,Painting,painting,Q20178188
3385,1943.3.173,Ornament with Flower and Eight Wild Folk,,1445,1503,1401 to 1500,engraving,"Meckenem, Israhel van",Israhel van Meckenem,Print,print,Q64958461
4101,1943.3.883,Madonna with Flower Vase,c. 1528/1530,1523,1533,1501 to 1550,engraving on laid paper,"Beham, Barthel",Barthel Beham,Print,print,Q64954116
6468,1943.3.3350,Bow Embellished with Flowers,1650,1650,1650,1601 to 1650,engraving on laid paper,"Hanias, Johannes",Johannes Hanias,Print,print,Q64959633
6469,1943.3.3351,Star Embellished with Flowers,1650,1650,1650,1601 to 1650,engraving on laid paper,"Hanias, Johannes",Johannes Hanias,Print,print,Q64959634
6470,1943.3.3352,Pendant Embellished with Flowers,1650,1650,1650,1601 to 1650,engraving on laid paper,"Hanias, Johannes",Johannes Hanias,Print,print,Q64959635
6471,1943.3.3353,Cross Embellished with Flowers,1650,1574,1710,1551 to 1600,engraving on laid paper,"Hanias, Johannes",Johannes Hanias,Print,print,Q64959636
12306,1943.8.97,Gros Point Needlework - Flowers,c. 1939,1939,1939,1926 to 1950,"watercolor, graphite, and pen and ink on paper","Julius, Ivar and Albert Rudin",Ivar Julius and Albert Rudin,Index of American Design,drawing,Q64579056
12430,1943.8.221,Handmade Flowers on Black,1935/1942,1935,1942,1926 to 1950,"watercolor, graphite, and gouache on paperboard","Mace, Frank J.",Frank J. Mace,Index of American Design,drawing,Q64569998
12528,1943.8.319,Quilt - Appliqued in Bellflower Design,c. 1937,1937,1937,1926 to 1950,"watercolor, gouache, pen and ink, and graphite on paper","Linsley, Margaret",Margaret Linsley,Index of American Design,drawing,Q64595005
12529,1943.8.320,Quilt - Appliqued in Bellflower Design,c. 1937,1937,1937,1926 to 1950,"watercolor, gouache, and graphite on paper","Linsley, Margaret",Margaret Linsley,Index of American Design,drawing,Q64595007
12717,1943.8.508,Embroidered Flower Motif,1941,1941,1941,1926 to 1950,watercolor and pen and ink on paperboard,"Buergerniss, Carl",Carl Buergerniss,Index of American Design,drawing,Q64537852
12764,1943.8.555,Linen Towel - Flower Design,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Wilson, Eva",Eva Wilson,Index of American Design,drawing,Q64560899
12765,1943.8.556,Linen Towel - Flower Design,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Wilson, Eva",Eva Wilson,Index of American Design,drawing,Q64560901
12771,1943.8.562,Linen - Red Border with Sunflower,c. 1937,1937,1937,1926 to 1950,"watercolor, gouache, and graphite on paper","Wilson, Eva",Eva Wilson,Index of American Design,drawing,Q64560915
14991,1943.8.2782,Linen Towel - Flower Design,c. 1937,1937,1937,1926 to 1950,"watercolor, graphite, and gouache on paperboard","Hastings, Katherine",Katherine Hastings,Index of American Design,drawing,Q64591998
15023,1943.8.2814,Quilt (Flowers in Circle),c. 1937,1937,1937,1926 to 1950,watercolor and graphite on paperboard,"Atkinson, Ralph",Ralph Atkinson,Index of American Design,drawing,Q64619757
15546,1943.8.3340,Flowered Challis Gown,c. 1940,1940,1940,1926 to 1950,watercolor and graphite on paper,"Kausch, Lester",Lester Kausch,Index of American Design,drawing,Q64593038
15652,1943.8.3447,Pa. German Flower Vase,c. 1937,1937,1937,1926 to 1950,"watercolor, gouache, and graphite on paperboard","Soltmann, Max",Max Soltmann,Index of American Design,drawing,Q64614214
15653,1943.8.3448,Pa. German Flower Pot and Saucer,c. 1941,1941,1941,1926 to 1950,watercolor and graphite on paper,"Brown, Ethelbert",Ethelbert Brown,Index of American Design,drawing,Q64560012
15654,1943.8.3449,Pa. German Flower Holder,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Lichten, Frances",Frances Lichten,Index of American Design,drawing,Q64562234
15697,1943.8.3492,Plate with Tulip and Two Flowers,1938,1938,1938,1926 to 1950,watercolor and gouache over graphite,"Capelli, Giacinto",Giacinto Capelli,Index of American Design,drawing,Q64572100
16044,1943.8.3840,Zoar Flower Pot,c. 1937,1937,1937,1926 to 1950,"watercolor, graphite, and pen and ink on paperboard","Barnett, Richard",Richard Barnett,Index of American Design,drawing,Q64620436
16788,1943.8.4586,Two Drawer Sunflower Chest - front view,1936,1936,1936,1926 to 1950,"watercolor, colored pencil, pen and ink, and graphite on paper","Partyka, Martin",Martin Partyka,Index of American Design,drawing,Q64596746
16789,1943.8.4587,Two Drawer Sunflower Chest - side view,c. 1936,1936,1936,1926 to 1950,"watercolor, colored pencil, pen and ink and graphite on paper","Partyka, Martin",Martin Partyka,Index of American Design,drawing,Q64596747
17395,1943.8.5194,Wall Pocket for Flowers,c. 1936,1936,1936,1926 to 1950,"graphite, watercolor, gouache, colored pencil, andheightening on paperboard","Fisk, John",John Fisk,Index of American Design,drawing,Q64582434
17396,1943.8.5195,Flower Pot with Saucer,c. 1937,1937,1937,1926 to 1950,"watercolor, colored pencil, and graphite on paperboard","Ellinger, David",David Ellinger,Index of American Design,drawing,Q64540807
17398,1943.8.5197,Wall Pocket for Flowers,c. 1936,1936,1936,1926 to 1950,"graphite, watercolor, gouache, colored pencil, andheightening on paperboard","Fisk, John",John Fisk,Index of American Design,drawing,Q64582435
17452,1943.8.5251,Parlor Flower Stand,c. 1939,1939,1939,1926 to 1950,"watercolor, colored pencil, and graphite on paperboard","Zupa, Nicholas",Nicholas Zupa,Index of American Design,drawing,Q64618468
19844,1943.8.7646,Conservatory Window with Flowers,1935/1942,1935,1942,1926 to 1950,"watercolor, gouache, and graphite on paper","Harnly, Perkins",Perkins Harnly,Index of American Design,drawing,Q64619321
18202,1943.8.6002,Flower Pot,1935/1942,1935,1942,1926 to 1950,watercolor and graphite on paperboard,"Aloisi, Anna",Anna Aloisi,Index of American Design,drawing,Q64535966
18208,1943.8.6008,Crockery Flower Vase,c. 1938,1938,1938,1926 to 1950,"watercolor, graphite, and colored pencil on paperboard","Cheney, Clyde L.",Clyde L. Cheney,Index of American Design,drawing,Q64540264
18256,1943.8.6056,Flower Urn,1935/1942,1935,1942,1926 to 1950,watercolor and colored pencil on paperboard,"Dawson, Clarence W.",Clarence W. Dawson,Index of American Design,drawing,Q64540087
18269,1943.8.6069,Pottery Flower Pot,c. 1937,1937,1937,1926 to 1950,"watercolor, colored pencil, graphite, and pen and ink on paperboard","Johnston, Annie B.",Annie B. Johnston,Index of American Design,drawing,Q64536126
18270,1943.8.6070,Stoneware Flower Pot,c. 1937,1937,1937,1926 to 1950,"watercolor, colored pencil, graphite, and pen and ink on paperboard","Johnston, Annie B.",Annie B. Johnston,Index of American Design,drawing,Q64536127
18272,1943.8.6072,Pottery Flower Pot,c. 1937,1937,1937,1926 to 1950,"watercolor, colored pencil, graphite, and pen and ink on paperboard","Johnston, Annie B.",Annie B. Johnston,Index of American Design,drawing,Q64536129
18276,1943.8.6076,Stoneware Flower Pot,c. 1937,1937,1937,1926 to 1950,"watercolor, graphite, colored pencil, and pen and ink on paperboard","Johnston, Annie B.",Annie B. Johnston,Index of American Design,drawing,Q64536136
18277,1943.8.6077,Pottery Flower Pot,1937/1938,1937,1938,1926 to 1950,"watercolor, colored pencil, graphite, and pen and ink on paperboard","Johnston, Annie B.",Annie B. Johnston,Index of American Design,drawing,Q64536137
18321,1943.8.6121,Flower Pot,1937,1937,1937,1926 to 1950,watercolor and graphite on paperboard,"Moss, Charles",Charles Moss,Index of American Design,drawing,Q64538788
18326,1943.8.6126,Flower Crock,probably 1940/1941,1940,1941,1926 to 1950,"watercolor, colored pencil, and graphite on paperboard","Stewart, Robert",Robert Stewart,Index of American Design,drawing,Q64629129
18330,1943.8.6130,Flower Vase,c. 1938,1938,1938,1926 to 1950,"watercolor, colored pencil, and pen and ink on paperboard","Durand, Francis Law",Francis Law Durand,Index of American Design,drawing,Q64562668
18401,1943.8.6201,Wall Pocket for Flowers,c. 1936,1936,1936,1926 to 1950,"watercolor, graphite, and colored pencil on paper","Lemberg, Gertrude",Gertrude Lemberg,Index of American Design,drawing,Q64572039
18430,1943.8.6230,Flower Pot,c. 1939,1939,1939,1926 to 1950,"watercolor, graphite and colored pencil on paper","Parys, Alfred",Alfred Parys,Index of American Design,drawing,Q64534408
18438,1943.8.6238,Flower Pot,c. 1939,1939,1939,1926 to 1950,"watercolor, graphite, pen and ink, and colored pencil on paperboard","Boehmer, Fritz",Fritz Boehmer,Index of American Design,drawing,Q64570913
18440,1943.8.6240,Flower Pot,c. 1936,1936,1936,1926 to 1950,"watercolor, graphite, and pen and ink on paper","Vail, James",James Vail,Index of American Design,drawing,Q64580714
18441,1943.8.6241,Flower Pot,c. 1938,1938,1938,1926 to 1950,"watercolor, colored pencil, graphite, and gouache on paperboard","Spiecker, William",William Spiecker,Index of American Design,drawing,Q64639500
18741,1943.8.6541,"Painted Wall-stand for Flowers, etc.",1939,1939,1939,1926 to 1950,"watercolor, colored pencil, and graphite on paper","Blakeley, Hal",Hal Blakeley,Index of American Design,drawing,Q64572876
19281,1943.8.7083,Wall Pocket for Flowers,1935/1942,1935,1942,1926 to 1950,"watercolor, graphite, and colored pencil on paperboard","Lemberg, Gertrude",Gertrude Lemberg,Index of American Design,drawing,Q64572045
19879,1943.8.7681,Tulip and Sunflower Chest,1936,1936,1936,1926 to 1950,"watercolor, pen and ink, and graphite on paper","Merriam, Harold",Harold Merriam,Index of American Design,drawing,Q64573084
20832,1943.8.8635,Glass Globe - Wax Flowers,1937,1937,1937,1926 to 1950,graphite on paperboard,"Iams, J. Howard",J. Howard Iams,Index of American Design,drawing,Q64579175
20833,1943.8.8636,Wool Flowers Under Glass,1935/1942,1935,1942,1926 to 1950,"watercolor, graphite, and pen and ink on paper","Mace, Frank J.",Frank J. Mace,Index of American Design,drawing,Q64570025
21396,1943.8.9199,Wood Carving - Flower,c. 1939,1939,1939,1926 to 1950,watercolor and graphite on paperboard,"Clements, Clayton",Clayton Clements,Index of American Design,drawing,Q64540194
21397,1943.8.9200,Wood Carving - Flower,c. 1939,1939,1939,1926 to 1950,watercolor and graphite on paperboard,"Ritchey, Lionel",Lionel Ritchey,Index of American Design,drawing,Q64593234
21462,1943.8.9366,Clay Flower Jar,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Edwards, Cecily",Cecily Edwards,Index of American Design,drawing,Q64538152
22425,1943.8.10329,Frame of Hair Flowers,c. 1938,1938,1938,1926 to 1950,"watercolor, pen and ink, and graphite on paper","Cheney, Clyde L.",Clyde L. Cheney,Index of American Design,drawing,Q64540282
22622,1943.8.10527,Flower Garden - Lewis Estate,c. 1936,1936,1936,1926 to 1950,"watercolor, gouache, and graphite on paperboard","Richards, Virginia and William Merklin",Virginia Richards and William Merklin,Index of American Design,drawing,Q64633902
22953,1943.8.10858,Flower (Lily),c. 1937,1937,1937,1926 to 1950,watercolor and graphite on paperboard,"Halpin, Grace",Grace Halpin,Index of American Design,drawing,Q64572729
23093,1943.8.10998,Flower Vase,1935/1942,1935,1942,1926 to 1950,watercolor and graphite on paper,"Ward, Paul",Paul Ward,Index of American Design,drawing,Q64619189
23136,1943.8.11041,Flower Holder,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Walbeck, Alfred",Alfred Walbeck,Index of American Design,drawing,Q64534455
23647,1943.8.11553,Glass Flower Holder,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Fossum, Magnus S.",Magnus S. Fossum,Index of American Design,drawing,Q64594639
23674,1943.8.11580,Flower Pot and Base,c. 1937,1937,1937,1926 to 1950,"watercolor, graphite, and goauche on paperboard","Riza, Janet",Janet Riza,Index of American Design,drawing,Q64580923
32892,1946.9.194,"Flower Market and Butter Tower, Rouen",1907,1907,1907,1901 to 1925,etching,"Pennell, Joseph",Joseph Pennell,Print,print,Q65080137
24925,1943.8.12833,Tin Foil Flower (Painting),c. 1936,1936,1936,1926 to 1950,"watercolor, graphite, and gouache on paper","Stevenson, Florence",Florence Stevenson,Index of American Design,drawing,Q64561863
24926,1943.8.12834,Framed Flower Painting,1937,1937,1937,1926 to 1950,watercolor and graphite on paperboard,"Secor, Clarence",Clarence Secor,Index of American Design,drawing,Q64540076
25125,1943.8.13033,Pa. German Flower Pot and Tray,c. 1936,1936,1936,1926 to 1950,oil paint on paperboard,"Antrim, William L.",William L. Antrim,Index of American Design,drawing,Q64638378
26895,1943.8.14804,Terra Cotta Flower Jar,c. 1936,1936,1936,1926 to 1950,watercolor and graphite on paper,"Edwards, Cecily",Cecily Edwards,Index of American Design,drawing,Q64538156
27082,1943.8.14991,Silk with Embroidered Flowers,c. 1941,1941,1941,1926 to 1950,"watercolor, gouache, and graphite on paperboard","Campbell, Douglas",Douglas Campbell,Index of American Design,drawing,Q64556024
28017,1943.8.15926,Ornamental Urn for Flowers,c. 1936,1936,1936,1926 to 1950,pen and ink on paper,"Price, Ray",Ray Price,Index of American Design,drawing,Q64620165
28020,1943.8.15929,Urn for Flowers,1938,1938,1938,1926 to 1950,"graphite, and colored pencil on paperboard","Atkinson, Ralph",Ralph Atkinson,Index of American Design,drawing,Q64619840
28021,1943.8.15930,Urn for Flowers,c. 1938,1938,1938,1926 to 1950,graphite and colored pencil on paperboard,"Hastings, Katherine",Katherine Hastings,Index of American Design,drawing,Q64592017
34856,1948.11.212,"Large Pendant, Lower Left and Right Two Bunches of Grass, Flowers, and Fruit",1596,1596,1596,1551 to 1600,engraving,"Mignot, Daniel",Daniel Mignot,Print,print,Q65071761
