Title,Period,Country,Classification,Description
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
"Woman selling flowers during revolution, Hungary",20th Century,Austria,Photograph,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
"Sketchbook, Spain: Page 48, Studies of Flowers",20th Century,United States,Books,
"The Several Habits of English Women, from the Nobility to the Country Women as they are in these times:  The Woman with a Mannish Hat and Flowered Petticoat",17th Century,Czech Republic,Print,
Gunakali Ragini,18th Century,Null,Painting,"Paintings made in the city of Jaipur took on a confectionary palette that became popular among newly expanded markets around India and abroad. With the disintegration of centralized imperial power, the Rajput kingdom of Jaipur began independently producing art that had mass appeal. Sets of paintings by royal court artists, such as the Ragamala series from which this page came, were made for sale, rather than for the private collection of the king. The revenues from their sale ensured the prosperity of the kingdom. The verse associated with Gunakali Ragini, a wintertime raga, states that the heroine “sets mandara flowers in a golden jar and seated, plucks them, with her mind fixed on love’s sport.”"
Chasuble,17th Century,Null,Embroidery,"This rare chasuble decorated with angels, musicians, pomegranates, and flowers represents Sacred and Profane Love. This is indicated by two figures—a clear-sighted figure embracing a blindfolded figure—standing on a globe in the upper center and also by the musicians. The angels play soft-sounding instruments (harpsichords, harps, viole da barccio, and flutes) while earthy figures play loud instruments (tambours and hunting horns). The chasuble was most likely part of a liturgical set commissioned for a wedding. This entire chasuble is embroidered with silk and metal thread laid over linen and stitched in place. The exceptionally fine workmanship, lavish use of gold and silver, and brilliant silk thread create this sumptuous vestment."
"Nude Study, Girl Sitting on a Flowered Cushion",20th Century,United States,Print,
"Sketchbook No. 6, page 186: Pencil sketch of flowers",20th Century,United States,Books,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Bust of Mademoiselle Lender,19th Century,France,Print,"Toulouse-Lautrec made several portraits of the actress Marcelle Lender at the height of her stardom in 1895 when she was featured in the operetta Chilpéric--libretto and music by Hervé--performed at the Théâtre des Variétés in Paris. The artist attended the production on more than 20 occasions, arriving just in time to see the final bolero in which Lender’s multilayered skirts created an explosion of bright pink and green tulle as she danced. With the fuchsia flowers and green cape, Toulouse-Lautrec evoked the performance that helped win Lender acclaim."
Blessed Lord Buddha,19th Century,Null,Painting,"The central figure of the Buddha, radiating light and the flame of enlightenment, is flanked by his four main disciples: Sariputra and the blue Moggallana on his left, and Ananda and Anuruddha on his right. Below him is the earth goddess holding a pot of water on her head. To her right are three guardians of Sri Lanka: Kataragama (or Skanda) with six heads and twelve arms; the blue Vibhishana, younger brother of Ravana; and, smaller in size, may be Pattina holding an anklet and neem leaf. On the opposite side are three deities: Sumana, the four-faced Brahma, and four-armed Shiva with trident. Arranged around two depictions of the bodhi tree under which the Buddha reached enlightenment, rows of other monks bear garlands in veneration. Each of the standing protector divinities around the periphery grasps a bow and arrow.This painting evokes the appearance of 18th- to 19th-century murals in Sri Lankan Buddhist temple interiors, such as those at Dumbulla, with its rows of golden figures. It was probably part of a domestic shrine, along with small sculptures of the Buddha, palm-leaf manuscripts of Pali scriptures, incense, oil lamps, bells, and other offerings such as food, flowers, and water. The varnish that covers the painting may have been intended to shield it from the environment of an active place of worship."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Leaf Excised from a Book of Hours: Decorated Initial H,15th Century,Netherlands,Manuscript,"The difficulty in localizing Dutch manuscripts of the second half of the 15th century is formidable. Many shared or exchanged characteristics are found, particularly in terms of page layout, border decoration, and initial design. The present leaf contains borders embellished with brightly colored flowers (columbines) and acanthus leaves filled in with gold bezants, tiny green leaves, and little black dots. Though different in palette, these elements bear closest resemblance to borders and initials produced by a group of artists associated with the Zwolle Bible (Utrecht, Universiteitsbibliotheek, MS. 31). The original illuminators are believed to have worked within the Monastery of the Canons Regular at Agnietenberg. This leaf is painted in an associated style by an artist who must have been familiar with the Zwolle group."
Bottle-shaped Vase,18th Century,Null,Ceramics,"This spectacular vase, one of a pair in the collection, depicts flowering and fruiting peach trees to convey an auspicious message of affluence and long life. Developments in enamel technology led to new possibilities in polychrome decoration of Qing imperial porcelains. Pinks appeared, lending their name to the new palette of overglaze colors (famille rose), and the addition of opaque white allowed painters to vary the value of pigments, enhancing the painterly quality of porcelain decoration."
"History of the Ceramic Art: A Descriptive and Philosophical Study of the Pottery of All Ages and All Nations: China: Porcelain, Colored Upon Biscuit, Teapot, with Raised Handle.  Teacup in the form of a Flower (Plate II)",19th Century,France,Books,
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Pair of Boots,11th - 12th Century,Null,Garment,"The fabric and tailoring of garments have always defined social status. For these boots, different outer fabrics were used: a patterned silk for the leg portion, and tapestry (kesi) for the foot. Since both were considered luxury fabrics, they were pieced together from remnants too precious to discard. Consequently, the silk pattern was not used in relation to the form of the boot, as seen in some other imperial boots. By contrast, these boots would have been made for a court official, not a member of the imperial family. The patterned silk was woven with geese flanking a vase of flowers on a stand and surrounded by cloud scrolls. The Chinese motif of flowers arranged in a vase was adopted by the Liao during the 11th century and indicates an 11th- or early 12th-century date for the boots."
Queen of the May,19th Century,England,Photograph,"A major figure in the development of British photography, Cameron elevated the portrait to new artistic heights. She never opened a commercial studio or accepted commissions, but she was one of the first photographers to sell her photographs through a fine art gallery. Friends, neighbors, family, and servants were cajoled into modeling for portraits as themselves and as allegorical figures from history, religion, mythology, and literature. Little is known about Emily Peacock, who posed here as the protagonist in The May Queen by Britain’s poet laureate Alfred Tennyson. Typically crowned with flowers, the May Queen is selected as part of the celebrations on May 1, a traditional spring holiday in many cultures in the Northern Hemisphere."
Mountain and River on the Kiso Road,19th Century,Japan,Print,"Late in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene features a river passing snow-covered mountains along the Kiso Road."
"Nude Study, Girl Sitting on a Flowered Cushion",20th Century,United States,Print,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
"Sketchbook, Spain: Inside Back Cover, Studies of Flowers",20th Century,Null,Books,
Boating in a Spring River,20th Century,China,Painting,This fan painting shows a charming scene of figures boating in a river framed by overhanging branches flowering in pink. The inscription states: “Today is the Dragon Boat Festival. This is painted to welcome my daughter Yishan home for a reunion. Inscribed by Baoshi in the early evening of 25 June 1963.” It is noteworthy that Fu Baoshi chose a joyful spring scene to express his delight about his daughter having returned home.
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
"Sketchbook, Spain: Page 48, Studies of Flowers",20th Century,United States,Books,
Snakeshead,20th Century,England,Textile,"When Morris designed Snakeshead in 1877, Indian silks were in style and widely imported from British India. This design stands out for its diminutive motifs and the strong red and black colors, which were fashionable only for a short time before paler hues regained favor with clients. While its color scheme suggests distant lands with warmer climates, the pattern showcases one of Morris’s favorite flowers: the fritillary, a wildflower that he remembered growing in the meadows near Oxford."
Dinner Service (Rousseau service): Flowers and Insects (no. 15),19th Century,France,Print,
Young Girl in Flowered Dress with Organdy Collar,20th Century,France,Print,
Flowers of Evil (Les Fleurs du Mal),21st Century,Japan,Books,
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Pair of Boots,11th - 12th Century,Null,Garment,"The fabric and tailoring of garments have always defined social status. For these boots, different outer fabrics were used: a patterned silk for the leg portion, and tapestry (kesi) for the foot. Since both were considered luxury fabrics, they were pieced together from remnants too precious to discard. Consequently, the silk pattern was not used in relation to the form of the boot, as seen in some other imperial boots. By contrast, these boots would have been made for a court official, not a member of the imperial family. The patterned silk was woven with geese flanking a vase of flowers on a stand and surrounded by cloud scrolls. The Chinese motif of flowers arranged in a vase was adopted by the Liao during the 11th century and indicates an 11th- or early 12th-century date for the boots."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Sarong,20th Century,Null,Textile,"Batiks made along the northern coast of Java were influenced not only by Chinese motifs and designs but also European, as a result of the Dutch presence in Indonesia from the sixteenth to the twentieth centuries. In this sarong, European influence is clearly evident in the sprays of flowers and types of birds represented. Batiks dyed only in indigo were a specialty of Indramaju. Shading and contrast are skillfully achieved through different intensities of blue, through the character and thickness of line, and by the use of tiny dots."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Paintings after Ancient Masters: Laozi Riding an Ox,16th Century,China,Painting,"The twenty paintings in this double-album by Chen Hongshou include landscapes, figures, and flowers. It also has one leaf featuring a woman, an often-used subject not found in the other albums from the latter part of his career. His late works are wonderful summations of Chen's peculiar and quirky art--archaistic, hyper-refined--but without accompanying shallowness or sentimentality.His figures and landscapes in the late albums are miniaturized, not unlike the small Chinese gardens, or the carefully selected small table rocks or old roots used for contemplation to see the world in miniature. This loss of scale is quite deliberate and reflects the psychological situation of a depressed class like the Ming loyalist officials and scholars, deprived of their integrity and honor, and forced to lead a diminished and restricted existence."
Fragment,20th Century,Italy,Sculpture,"The Madonna sits upon a throne with the Christ Child standing on her knee.  He is steadied by his mother, turning delicately to grasp the Virgin's robe for support.  On the left is St. Francis, identified by his stigmata.  On the right, St. Anthony Abbot is identified by his monk's robe and T-shaped walking stick.  The brown robes of the saints, the purple of the Virgin's tunic (a shade characteristic of the artist), and the flesh tones of the figures contrast strongly against the bright blue background.  In the semicircular sky behind the figures, three winged cherub heads emerge, representing a host of angels.  
The inclusion of St. Francis in this altarpiece honors the saint, suggesting that the altarpiece may have been originally built into the wall of a Franciscan institution in Tuscany.  Two shields bearing the Borgherini family crest appear in the lower portion of the altarpiece's border, further suggesting that the chapel for which this altarpiece was made was likely owned or endowed by the family.  
Glazed terracotta is both durable and decorative and the gleaming white of this piece would have stood out in the darkness of a church.  The medium was made popular by Renaissance artist Luca della Robbia and came into fashion as a substitute for expensive carved marble.  A rounded arch frame embellished with fruit and flower garlands as well as egg-and-dart and cord moldings accompanied the work when it was acquired, but was later determined not to be original and removed.  Buglioni's work bears the influence of the della Robbias, particularly in the simple color scheme.  Buglioni likely worked in the studio of Luca's nephew, Andrea, where he would have learned the technique of glazing terracotta."
Camera Work: Still Life [Flowering Shrub in Glass],20th Century,United States,Books,
Pendant,14th Century,Null,Embroidery,"Pendants were used extensively in Buddhist settings where they were attached to almost anything needing decoration: ritual objects, canopies, valances, pillars, and other architectural components. They could be made in a variety of ways. This example consists of a heading and six tiers, each embroidered separately and then attached, one to the next. The earliest known pendant of this type was found in Central Asia and dates from the Tang dynasty (AD 618-907). The 14th-century date of this pendant is indicated by the style of the flowers."
Still Life with Cantaloupe,19th Century,United States,Painting,"Brown's early works were softly painted, romantic landscapes, but in the 1860s he turned almost exclusively to still lifes. He renounced the fluid style of his earlier landscapes and began to paint carefully contrived arrangements of fruit and flowers with almost photographic clarity. Brown became one of a number of painters to gain fame through reproductions made with the new printing process of chromolithography (a multicolor lithograph in which each color is printed from a separate stone or metal plate)."
Leaf from the Late Shah Jahan Album: Harem Night-Bathing Scene (recto); Calligraphy Framed by an Ornamental Border of Flowers and Birds (verso),17th Century,Null,Painting,
Part of a sari,18th - 19th Century,Null,Textile,"This section of an upper garment has been cut down from its original length, with borders applied to the short ends. The rose-colored threads in one direction lend an underlying warmth to the metallic thread woven in the opposite direction that changes hue and sheen as the wearer moves. The border is a flowering vine pattern with alternating pink and orange blossoms."
Cachepot,18th Century,France,Ceramics,"The mark on this piece indicates that it was made after the Mennecy factory was moved to Bourg-la- Reine in 1773. The tradition of Mennecy's decoration on soft-paste porcelain can be recognized in the piece, but its style has been modified in response to the emerging neo-classic taste. The flowers are now organized into formal garland's and motifs of classical origin, such as the lion's heads, are introduced."
April,20th Century,United States,Print,"April is the second woodcut (Singing Trees of 1928 was the first) where aluminum leaf rather than a printed color was employed for the sky. The glittering background enlivens an unmodulated field and offsets the delicacy of the pink and white flowering fruit trees. There are many precedents for metallic backgrounds, including medieval Italian paintings like Ugolino di Nerio da Siena’s Virgin and Child with Saints, from about 1320 (on view in gallery 110A)."
Market Chichicastenango,20th Century,United States,Print,"Santo Tomás Chichicastenango, a mountain town at an altitude of 6,447 feet, is 87 miles northwest of Guatemala City and is the commercial center of the Quiché region. Known for its traditional K’iche’ Maya culture, it is the site of a large market where vendors sell everything from animals and tools to handicrafts and flowers--a colorful outdoor spectacle that attracts natives and tourists alike."
Portrait of a Woman,19th Century,France,Drawing,"Béranger is known as an academic painter of genre subjects. This pastel study of a young woman with downcast eyes conveys a sense of vitality and immediacy lacking in his more highly finished works in oil. While the graceful features of her face are articulated with tender detail, the flowers adorning her hair are summarily indicated with a handful of rapid strokes, and her bodice is barely suggested."
Bamboo and Plum,16th Century,Japan,Painting,"This painting of a white plum (or prunus) and bamboo was once part of a triptych. A central image of the demon-queller Zhong Kui was flanked by this painting and one of a red plum and bamboo. The paintings would have been suitable to hang after the turn of the new year, when Zhong Kui would drive out evil demons, and the year’s first flowers were in bloom. Sesson hailed from what is now Ibaraki prefecture in northern Honshu. A Zen monk, he spent much of his career in the Kanto region, and developed a distinctive style uninhibited by formal training in the Kano atelier."
A Lady-in-Waiting with Waist as Slender as a Willow from the series Flowers and Modern Beauties,19th Century,Japan,Print,
Eight Views of Kanazawa at Night,19th Century,Japan,Print,"Late in his career, Hiroshige explored the poetic theme of setsugekka, “snow, moon, and flowers,” in a set of three triptychs. This panoramic scene shows the autumn moon over Kanazawa, near Tokyo. Hiroshige’s contemporaries would have recognized the coastline dotted with villages, fishing boats, and the distinctive double-arched bridge at the bottom right."
Octopus and Melon,20th Century,Japan,Photograph,"Michiko Kon has created a remarkable body of work by assembling and photographing intricate still-life compositions. She employs a variety of materials in her constructions, such as fragments of raw fish, vegetables, flowers, and insects. Kon chooses perishable subjects, hoping to stimulate the viewer's five senses and ""because life contains a delicate beauty that attracts other objects, and a time limit."" A fish market near her studio supplies much of the matter for Kon's works, including Octopus and Melon. The halved melon, covered with the skin of an octopus, alludes to the themes of life, death, and female sexuality."
Lampas with floral medallions in ogival lattice,16th Century,Null,Textile,"This signature Turkish brocaded silk has a classic elegance associated with the artistic height of the 1500s. The prominent golden medallions and ogival (curved) lattice contrast with exceptionally delicate Turkish flowers—tulips, roses, carnations, and hyacinths—which all grow on a single vine. The symmetrical design and two complete medallions with lattices across the width are typical Turkish features of fine brocaded silks. Its original function is uncertain. Possibly it was intended for an imperial kaftan, a garment consisting of a long gown with sleeves reaching below the hands, examples of which are preserved in the Topkapi Palace in Istanbul, the imperial center of the vast and wealthy Ottoman Empire."
Pair of Headpieces,10th - 12th Century,Null,Embroidery,"These headpieces are embroidered with butterflies, birds, animals, flowers, leaves, and delicate vine scrolls. In general, the design is related to the theme of the lotus pond, best known from Liao tomb paintings. Paired ducks or geese swimming in water and looking in opposite directions seem to have become popular in the north of China before spreading further south and to Central Asia. On the other hand, recumbent animals looking back are a Central Asian image that migrated to northern China. Headpieces of this shape, intersected by two bands and secured by ties, have a long history in northern China. A gold replica was found in a tomb dating as early as 500–550."
Silk hanging with embroidered tree of life,19th Century,Null,Embroidery,"This resplendent tree of life embroidery integrates Turkish traditions with new European styles that became increasingly fashionable during the mid-18th century. The fanciful tree projects lavish bouquets of Turkish flowers while the tree trunk is wrapped with an elaborate European-style bow, as are the meandering vines in the floral border. A professional draftsman drew the pattern with ink on the radiant yellow silk taffeta embroidered with at least 12 vibrant colors in chain stitch. It was most likely made in a professional workshop as a hanging for special occasions, a conspicuous symbol of beauty and wealth."
Dead Child On a Sofa,19th Century,Null,Photograph,"This carefully staged daguerreotype of a dead child is an outstanding example of a very common subject: the postmortem portrait. Using the stylistic conventions of the day, the unidentified artist successfully created a visually pleasing scene, despite the nature of the image. Dressed in white with a bouquet of flowers on the chest, the child, seen in profile, reclines on an elaborately patterned sofa. Delicate flesh tones were added to the cheek and arm, suggestive of a healthy child sleeping. The high rate of infant mortality throughout the 19th century made this variety of portraiture common, satisfying the emotional need of the parents to have a lasting memory of a loved one."
Iris #118,20th Century,Japan,Print,"Iris #118 recalls early Japanese folding screens in the way the beautiful flowers are painted on a gold background for a rich, decorative effect. Here, as with screens, squares of gold leaf were applied onto handmade Japanese paper. The artist then screenprinted the floral design and softened the glittering effect of the gold leaf by covering it with a pale wash."
The Dreamy Lobster,20th Century,United States,Print,"After spending a summer on an island off the coast of Maine, Peterdi was inspired to create this print. The artist explained: “Every morning I went down to the rocky shore searching for the treasures the pregnant ocean deposited there during the night. I watched the fishermen visit their traps, pull up big, green lobsters with terrifying claws. I followed the metamorphosis of these monsters from their virility while they were alive to the hollow, sun-bleached shells lying, like wilted flowers, on the pebble beach.”"
The Courtesan Takihime and Attendants (from the series New Patterns of Young Greens),18th Century,Japan,Print,"The designs on Takihime’s outer robe describes fragments of scenery—bridge, castle, wind-filled sails amid clouds—while her attendants’ robes are more conventionally decorated with scattered flowers. The tassels on their sleeves were worn only by young girls. All three wear the triple-fan crest of the Ogiya (""House of Fans"") tea house on the shoulders of their kimono. The cartouche in the upper-right corner of the print identifies the series title and time of year. It is New Year, the same season depicted in Engetsudo’s scroll Courtesan and Attendants (see 1985.255). Courtesans strolling through the streets with their attendants were common sights during evening hours in the Yoshiwara."
